circuit_name	num_qubits	num_partitions	cost	time
adder_n28	28	6	52.8	1.0831357479095458
qft_n29	29	6	83.0	6.85224404335022
bv_n30	30	6	5.0	0.11503920555114747
knn_n31	31	6	12.2	0.8852437496185303
cc_n32	32	6	5.0	0.14722280502319335
QV_n32	32	6	N/A	N/A
dnn_n33	33	6	82.2	2.2965333461761475
ising_n34	34	6	17.8	0.14984326362609862
cat_n35	35	6	18.8	0.06711797714233399
wstate_n36	36	6	16.0	0.15620770454406738
qugan_n39	39	6	64.8	2.0735872268676756
ghz_n40	40	6	14.4	0.07251143455505371
swap_test_n41	41	6	17.6	1.4965451240539551
knn_n41	41	6	23.0	1.5232561588287354
ising_n42	42	6	7.0	0.21276273727416992
dnn_n51	51	6	74.2	5.16161618232727
qft_n63	63	6	103.0	82.84934148788452
cc_n64	64	6	5.0	0.3411539077758789
adder_n64	64	6	24.6	6.363174104690552
cat_n65	65	6	18.0	0.1533456802368164
ising_n66	66	6	8.0	0.5563277721405029
knn_n67	67	6	11.6	4.990153217315674
bv_n70	70	6	4.6	0.13377704620361328
qugan_n71	71	6	55.0	9.313678646087647
wstate_n76	76	6	29.2	0.9153796672821045
ghz_n78	78	6	7.0	0.14748473167419435
swap_test_n83	83	6	5.0	9.668253135681152
ising_n98	98	6	24.2	1.5099944114685058
QV_n100	100	6	N/A	N/A
adder_n28	28	8	52.4	1.1116872310638428
qft_n29	29	8	90.0	7.360566139221191
bv_n30	30	8	5.4	0.1501974105834961
knn_n31	31	8	15.4	0.8703885555267334
cc_n32	32	8	7.0	0.13376827239990235
QV_n32	32	8	N/A	N/A
dnn_n33	33	8	82.6	2.9867884159088134
ising_n34	34	8	34.8	0.16276144981384277
cat_n35	35	8	19.0	0.07103185653686524
wstate_n36	36	8	23.6	0.2070106029510498
qugan_n39	39	8	64.2	2.114277458190918
ghz_n40	40	8	13.2	0.05825052261352539
swap_test_n41	41	8	17.2	1.909388542175293
knn_n41	41	8	18.4	2.4282568454742433
ising_n42	42	8	37.6	0.23421025276184082
dnn_n51	51	8	104.8	7.0798659324646
qft_n63	63	8	139.0	69.17064504623413
cc_n64	64	8	7.0	0.31608967781066893
adder_n64	64	8	54.0	6.486672735214233
cat_n65	65	8	30.8	0.18674616813659667
ising_n66	66	8	36.0	0.6472151756286622
knn_n67	67	8	19.6	7.630536794662476
bv_n70	70	8	5.8	0.24979982376098633
qugan_n71	71	8	64.0	8.468819284439087
wstate_n76	76	8	45.0	0.9881468772888183
ghz_n78	78	8	36.0	0.2619762897491455
swap_test_n83	83	8	28.0	13.334004020690918
ising_n98	98	8	44.8	1.6418017864227294
QV_n100	100	8	N/A	N/A
