circuit_name	num_qubits	num_partitions	cost	time
adder_n28	28	6	59.0	0.4478560447692871
qft_n29	29	6	83.0	1.8265071868896485
bv_n30	30	6	5.0	0.06404790878295899
knn_n31	31	6	11.2	0.43041253089904785
cc_n32	32	6	5.0	0.08766498565673828
QV_n32	32	6	N/A	N/A
dnn_n33	33	6	90.0	1.0426080226898193
ising_n34	34	6	19.8	0.05312371253967285
cat_n35	35	6	16.6	0.03716974258422852
wstate_n36	36	6	16.0	0.05380282402038574
qugan_n39	39	6	63.0	0.8754449367523194
ghz_n40	40	6	13.4	0.04031777381896973
swap_test_n41	41	6	20.6	0.48386387825012206
knn_n41	41	6	19.4	0.6500547409057618
ising_n42	42	6	7.0	0.06039547920227051
dnn_n51	51	6	73.2	1.7285896778106689
qft_n63	63	6	103.4	16.77137384414673
cc_n64	64	6	5.2	0.1852935791015625
adder_n64	64	6	26.2	1.122273063659668
cat_n65	65	6	20.4	0.08715524673461914
ising_n66	66	6	8.0	0.13629889488220215
knn_n67	67	6	10.2	0.9707107067108154
bv_n70	70	6	4.6	0.07433366775512695
qugan_n71	71	6	56.8	1.1106683731079101
wstate_n76	76	6	31.2	0.23181986808776855
ghz_n78	78	6	7.0	0.06906261444091796
swap_test_n83	83	6	5.0	0.8127249717712403
ising_n98	98	6	24.0	0.32935752868652346
QV_n100	100	6	N/A	N/A
adder_n28	28	8	55.4	0.4741202354431152
qft_n29	29	8	91.8	1.9032111644744873
bv_n30	30	8	5.8	0.05823483467102051
knn_n31	31	8	14.8	0.3631402015686035
cc_n32	32	8	7.0	0.05961112976074219
QV_n32	32	8	N/A	N/A
dnn_n33	33	8	78.2	1.2303782463073731
ising_n34	34	8	36.2	0.054652070999145506
cat_n35	35	8	17.6	0.03870062828063965
wstate_n36	36	8	26.8	0.16223468780517578
qugan_n39	39	8	65.0	0.7954209804534912
ghz_n40	40	8	14.0	0.02864208221435547
swap_test_n41	41	8	19.4	0.9741472244262696
knn_n41	41	8	24.6	0.8943507194519043
ising_n42	42	8	36.8	0.08105053901672363
dnn_n51	51	8	108.8	2.1551465511322023
qft_n63	63	8	139.0	12.988823509216308
cc_n64	64	8	7.0	0.12460269927978515
adder_n64	64	8	58.8	1.1261861801147461
cat_n65	65	8	30.2	0.07940716743469238
ising_n66	66	8	39.6	0.1551032543182373
knn_n67	67	8	22.8	1.9561460494995118
bv_n70	70	8	5.0	0.1420670509338379
qugan_n71	71	8	64.4	1.795739507675171
wstate_n76	76	8	48.2	0.24371004104614258
ghz_n78	78	8	35.6	0.11661601066589355
swap_test_n83	83	8	26.4	2.568936014175415
ising_n98	98	8	47.6	0.5147583484649658
QV_n100	100	8	N/A	N/A
