circuit_name	num_qubits	num_partitions	cost	time
adder_n28	28	6	12.2	5.991629409790039
qft_n29	29	6	70.0	11.378739356994629
bv_n30	30	6	3.0	0.9539647102355957
knn_n31	31	6	5.0	5.757008790969849
cc_n32	32	6	5.0	3.391128969192505
QV_n32	32	6	719.6	6.992600154876709
dnn_n33	33	6	20.4	5.413688850402832
ising_n34	34	6	7.0	0.31278743743896487
cat_n35	35	6	6.8	1.3451937198638917
wstate_n36	36	6	8.0	1.5860091209411622
qugan_n39	39	6	23.4	8.031974029541015
ghz_n40	40	6	7.0	1.760849618911743
swap_test_n41	41	6	7.0	11.715839385986328
knn_n41	41	6	7.0	12.315450382232665
ising_n42	42	6	7.0	0.362369441986084
dnn_n51	51	6	27.6	14.37039794921875
qft_n63	63	6	150.0	100.50295195579528
cc_n64	64	6	5.0	16.13063039779663
adder_n64	64	6	17.8	36.41612620353699
cat_n65	65	6	7.0	5.480801439285278
ising_n66	66	6	7.0	0.5796419620513916
knn_n67	67	6	5.0	34.89007415771484
bv_n70	70	6	5.0	4.637663745880127
qugan_n71	71	6	32.2	26.748239755630493
wstate_n76	76	6	10.8	7.946434497833252
ghz_n78	78	6	7.0	8.253113412857056
swap_test_n83	83	6	5.0	59.54033627510071
ising_n98	98	6	7.0	0.915126371383667
adder_n28	28	8	16.2	7.942020559310913
qft_n29	29	8	91.0	16.204409980773924
bv_n30	30	8	4.4	1.4355364799499513
knn_n31	31	8	7.0	7.477464962005615
cc_n32	32	8	6.0	4.679023694992066
QV_n32	32	8	996.2	9.67741961479187
dnn_n33	33	8	26.4	8.300187015533448
ising_n34	34	8	9.6	0.446531867980957
cat_n35	35	8	9.8	1.9098947048187256
wstate_n36	36	8	11.8	2.2431429862976073
qugan_n39	39	8	40.2	10.632431411743164
ghz_n40	40	8	9.4	2.4629706859588625
swap_test_n41	41	8	6.8	16.0914128780365
knn_n41	41	8	6.6	13.906577396392823
ising_n42	42	8	10.0	0.5409880638122558
dnn_n51	51	8	29.0	20.299654483795166
qft_n63	63	8	217.0	147.47376537322998
cc_n64	64	8	7.0	24.34614815711975
adder_n64	64	8	13.2	54.94883832931519
cat_n65	65	8	11.0	7.757790470123291
ising_n66	66	8	11.0	0.8638099670410156
knn_n67	67	8	8.0	56.226136207580566
bv_n70	70	8	5.6	6.390420866012573
qugan_n71	71	8	51.8	37.87299370765686
wstate_n76	76	8	18.2	11.272783231735229
ghz_n78	78	8	11.0	11.509365320205688
swap_test_n83	83	8	8.0	94.71950273513794
ising_n98	98	8	11.0	1.3074373245239257
QV_n100	100	8	N/A	N/A
