circuit_name	num_qubits	num_partitions	ESD_cost	ESD_time
adder_n28	28	6	48.0	1.0760694980621337
qft_n29	29	6	90.0	6.956987571716309
bv_n30	30	6	5.0	0.10285181999206543
knn_n31	31	6	11.6	0.9283106803894043
cc_n32	32	6	5.0	0.13165864944458008
QV_n32	32	6	N/A	N/A
dnn_n33	33	6	99.4	2.2647294998168945
ising_n34	34	6	20.6	0.1479051113128662
cat_n35	35	6	20.0	0.06407270431518555
wstate_n36	36	6	12.0	0.15366706848144532
qugan_n39	39	6	78.2	2.4100054264068604
ghz_n40	40	6	15.0	0.07076454162597656
swap_test_n41	41	6	23.0	1.4327516555786133
knn_n41	41	6	23.0	1.5252204418182373
ising_n42	42	6	9.0	0.216582727432251
dnn_n51	51	6	102.2	5.052017593383789
qft_n63	63	6	96.0	88.17577605247497
cc_n64	64	6	5.0	0.3480709075927734
adder_n64	64	6	30.6	6.643855476379395
cat_n65	65	6	34.4	0.17481722831726074
ising_n66	66	6	6.0	0.5590143203735352
knn_n67	67	6	17.0	6.337424230575562
bv_n70	70	6	5.0	0.172430419921875
qugan_n71	71	6	39.0	9.615917015075684
wstate_n76	76	6	30.2	0.9064919948577881
ghz_n78	78	6	9.0	0.13946294784545898
swap_test_n83	83	6	5.0	9.602023935317993
ising_n98	98	6	25.0	1.5362723827362061
QV_n100	100	6	N/A	N/A
adder_n28	28	8	48.8	1.0662342071533204
qft_n29	29	8	93.0	7.031903553009033
bv_n30	30	8	7.0	0.14755148887634278
knn_n31	31	8	16.6	0.7497769832611084
cc_n32	32	8	7.0	0.14421601295471193
QV_n32	32	8	N/A	N/A
dnn_n33	33	8	124.0	3.377203273773193
ising_n34	34	8	40.2	0.1605518341064453
cat_n35	35	8	36.0	0.07643065452575684
wstate_n36	36	8	29.4	0.20446333885192872
qugan_n39	39	8	57.0	2.245626974105835
ghz_n40	40	8	12.0	0.058244943618774414
swap_test_n41	41	8	13.6	1.969061803817749
knn_n41	41	8	25.0	2.2441688060760496
ising_n42	42	8	45.6	0.2427830696105957
dnn_n51	51	8	122.6	7.67330846786499
qft_n63	63	8	186.0	72.39948501586915
cc_n64	64	8	7.0	0.3318434715270996
adder_n64	64	8	44.0	6.679545450210571
cat_n65	65	8	59.6	0.18861861228942872
ising_n66	66	8	46.4	0.5932968616485595
knn_n67	67	8	23.2	6.610300874710083
bv_n70	70	8	5.8	0.2081925392150879
qugan_n71	71	8	84.0	8.262512731552125
wstate_n76	76	8	33.8	0.9321967124938965
ghz_n78	78	8	33.4	0.24226179122924804
swap_test_n83	83	8	18.4	12.083254671096801
ising_n98	98	8	48.8	1.524510955810547
QV_n100	100	8	N/A	N/A
