circuit_name	num_qubits	num_partitions	pe_cost	pe_time
adder_n28	28	6	44.6	0.426390266418457
qft_n29	29	6	90.0	1.9800466060638429
bv_n30	30	6	5.0	0.06898264884948731
knn_n31	31	6	12.8	0.47219114303588866
cc_n32	32	6	5.0	0.08351483345031738
QV_n32	32	6	N/A	N/A
dnn_n33	33	6	110.0	0.9868656158447265
ising_n34	34	6	21.2	0.055749034881591795
cat_n35	35	6	22.0	0.03961257934570313
wstate_n36	36	6	12.0	0.05604352951049805
qugan_n39	39	6	79.0	0.819730567932129
ghz_n40	40	6	13.6	0.040767765045166014
swap_test_n41	41	6	29.0	0.5026544570922852
knn_n41	41	6	33.2	0.39173159599304197
ising_n42	42	6	9.0	0.05966892242431641
dnn_n51	51	6	102.2	1.4489152431488037
qft_n63	63	6	96.0	17.51584358215332
cc_n64	64	6	5.0	0.21776375770568848
adder_n64	64	6	34.0	1.1453094005584716
cat_n65	65	6	34.2	0.09516444206237792
ising_n66	66	6	6.0	0.13544554710388185
knn_n67	67	6	14.8	0.8432032108306885
bv_n70	70	6	4.8	0.09510555267333984
qugan_n71	71	6	39.4	1.1217761993408204
wstate_n76	76	6	32.4	0.23173298835754394
ghz_n78	78	6	9.0	0.06958904266357421
swap_test_n83	83	6	5.0	0.8511085987091065
ising_n98	98	6	28.6	0.3199711799621582
QV_n100	100	6	N/A	N/A
adder_n28	28	8	55.8	0.45339031219482423
qft_n29	29	8	93.0	1.7146710872650146
bv_n30	30	8	6.6	0.117610502243042
knn_n31	31	8	19.0	0.30883378982543946
cc_n32	32	8	7.0	0.05502500534057617
QV_n32	32	8	N/A	N/A
dnn_n33	33	8	115.4	1.1331361293792725
ising_n34	34	8	40.6	0.05478191375732422
cat_n35	35	8	31.2	0.03899335861206055
wstate_n36	36	8	30.4	0.07243657112121582
qugan_n39	39	8	58.6	0.8097563266754151
ghz_n40	40	8	12.0	0.028995466232299805
swap_test_n41	41	8	16.0	1.0419934749603272
knn_n41	41	8	16.0	0.9718710899353027
ising_n42	42	8	41.2	0.07785835266113281
dnn_n51	51	8	121.2	2.03445782661438
qft_n63	63	8	186.8	13.735537576675416
cc_n64	64	8	7.0	0.23661575317382813
adder_n64	64	8	48.4	1.1755083084106446
cat_n65	65	8	46.2	0.08972206115722656
ising_n66	66	8	46.0	0.17243943214416504
knn_n67	67	8	19.8	1.7488837718963623
bv_n70	70	8	5.8	0.15089588165283202
qugan_n71	71	8	84.4	2.087785339355469
wstate_n76	76	8	32.4	0.25309157371520996
ghz_n78	78	8	34.6	0.1547306537628174
swap_test_n83	83	8	22.8	2.201212453842163
ising_n98	98	8	51.4	0.32952003479003905
QV_n100	100	8	N/A	N/A
