x	max_cost_b	mean_cost_b	min_cost_b	max_cost_f	mean_cost_f	min_cost_f	max_cost_r	mean_cost_r	min_cost_r	max_cost_w	mean_cost_w	min_cost_w
1	140.61577310586392	133.0	125.38422689413609	155.4455231422596	144.0	132.5544768577404	140.51664818918644	133.0	125.48335181081355	125.34877040918614	116.2	107.05122959081386
2	115.0147603484156	106.2	97.3852396515844	150.70405331399306	139.6	128.49594668600693	115.26324326281811	107.8	100.33675673718189	118.97605579756356	109.8	100.62394420243643
3	129.93589667773574	125.6	121.26410332226423	150.61769203083566	141.0	131.38230796916434	128.2187226143525	121.8	115.38127738564751	133.27465169527454	125.2	117.12534830472546
4	116.6147603484156	107.8	98.9852396515844	145.29705831449922	136.8	128.3029416855008	116.09383301152418	108.8	101.50616698847581	116.08669766125215	108.2	100.31330233874786
5	131.71977443130817	126.4	121.08022556869186	147.74679434480896	138.0	128.25320565519104	137.37952958189328	124.2	111.02047041810673	129.15723809439154	123.8	118.44276190560845
6	116.18122797569397	108.2	100.21877202430603	141.3848704125339	132.8	124.21512958746611	117.61665126307987	108.6	99.58334873692012	115.71362431027076	108.0	100.28637568972924
7	132.4630789467763	127.2	121.9369210532237	140.6632432628181	133.2	125.73675673718188	141.72953021774597	128.0	114.27046978225403	131.29444101084886	126.8	122.30555898915115
8	113.92820323027551	107.0	100.07179676972449	137.3824115301167	130.0	122.6175884698833	116.60832920383116	108.2	99.79167079616884	114.86993975879325	107.4	99.93006024120676
9	133.7833178725903	124.8	115.81668212740972	140.6036577207975	132.4	124.19634227920254	136.03327566303383	126.4	116.76672433696616	130.09067059000927	124.2	118.30932940999075
10	116.27465169527454	108.2	100.12534830472546	135.86438140455775	127.6	119.33561859544224	114.21815684310971	107.6	100.98184315689028	115.4139421869432	106.8	98.18605781305679
11	117.3236547606473	107.8	98.2763452393527	140.08854631404085	131.8	123.51145368595917	118.69945053286186	109.6	100.50054946713813	114.62494813255682	108.6	102.57505186744316
12	109.24363102087608	101.2	93.15636897912393	134.96868872525462	127.0	119.03131127474539	111.56102672688793	102.6	93.63897327311206	113.22967024840268	105.8	98.37032975159731
13	114.88464178838296	104.8	94.71535821161703	138.42800097228968	130.2	121.9719990277103	115.4302753041037	109.8	104.16972469589629	113.93589667773576	109.6	105.26410332226423
14	108.64984471899923	100.6	92.55015528100076	133.80270220932871	126.4	118.99729779067131	109.69666592559653	102.2	94.70333407440347	112.88519583356734	105.8	98.71480416643266
15	111.92657750883275	104.2	96.47342249116726	131.03914887194867	125.4	119.76085112805133	116.02093240599831	109.8	103.57906759400169	114.47749954561975	107.6	100.72250045438024
16	105.78791845139511	100.0	94.21208154860489	129.45691150575095	122.4	115.34308849424907	107.0990195135928	102.0	96.9009804864072	112.63187389270583	105.4	98.16812610729419
17	109.18027355054483	102.6	96.01972644945516	130.10384501660363	123.6	117.09615498339636	116.59102047231298	108.8	101.00897952768702	115.38331012066064	109.4	103.41668987933937
18	105.52741187248219	98.4	91.27258812751782	126.78748776906853	120.4	114.01251223093148	110.80869154657707	101.6	92.39130845342292	111.89202437604511	105.0	98.10797562395489
19	112.1322916030806	103.6	95.06770839691939	130.70820393249937	124.0	117.29179606750063	120.92695899171528	109.6	98.27304100828471	112.94977477020466	107.4	101.85022522979536
20	105.87400787401181	98.0	90.12599212598819	127.772670690062	121.2	114.627329309938	114.4323017938292	104.2	93.96769820617081	112.89202437604511	106.0	99.10797562395489
21	105.25805249234439	99.2	93.14194750765562	130.75423399307664	121.6	112.44576600692335	114.44291617453275	105.8	97.15708382546724	112.23914887194867	106.6	100.96085112805132
22	104.80270220932871	97.4	89.9972977906713	126.78331787259029	117.8	108.8166821274097	107.05538513813741	98.0	88.94461486186259	112.41059755241537	105.8	99.18940244758463
23	104.66630035524123	98.6	92.53369964475876	129.4339811320566	120.0	110.5660188679434	108.8309518948453	103.0	97.1690481051547	112.14781507049351	107.0	101.85218492950649
24	104.62139587261677	97.6	90.57860412738322	125.77496438739212	117.0	108.22503561260788	105.24621125123532	97.0	88.75378874876468	111.70737259384099	105.6	99.492627406159
25	104.93657747256671	97.4	89.8634225274333	126.58287544405155	119.0	111.41712455594845	111.03639697703127	103.6	96.16360302296872	114.1365774725667	106.6	99.06342252743329
26	104.71833315793165	96.8	88.88166684206834	124.10633520177595	117.0	109.89366479822405	106.06225774829855	98.0	89.93774225170145	111.51920240520265	105.0	98.48079759479735
27	104.76240183178798	97.6	90.437598168212	132.88577052853861	122.0	111.11422947146139	108.94217089351845	102.4	95.85782910648156	112.7008771254957	107.0	101.2991228745043
28	104.68114574786861	97.0	89.31885425213139	126.48439551074813	117.2	107.91560448925188	104.42943165242535	96.6	88.77056834757464	111.45662018573852	105.6	99.74337981426147
29	104.76240183178798	97.6	90.437598168212	129.159919678391	119.2	109.24008032160901	112.27749954561976	105.4	98.52250045438025	112.62494813255682	106.6	100.57505186744316
30	104.34846922834953	97.0	89.65153077165047	124.15475321515004	116.0	107.84524678484996	107.3888820216977	98.4	89.41111797830231	110.99464029227975	105.4	99.80535970772026
31	103.507372593841	97.4	91.29262740615901	126.90333259292163	119.4	111.89666740707838	105.47749954561975	98.6	91.72250045438024	113.52802838422451	106.2	98.8719716157755
32	103.59722168617864	96.4	89.20277831382137	123.81249024960405	115.8	107.78750975039594	102.46159252375118	94.8	87.13840747624882	109.56194411635516	103.8	98.03805588364483
33	103.86993975879325	96.4	88.93006024120676	125.26811580507231	117.6	109.93188419492768	106.81024967590665	99.0	91.18975032409335	113.25582451691749	106.6	99.9441754830825
34	103.86993975879325	96.4	88.93006024120676	120.78232998312527	114.0	107.21767001687473	102.16530746332688	94.4	86.63469253667313	110.21664358259653	104.2	98.18335641740347
35	103.86993975879325	96.4	88.93006024120676	125.29303490426845	117.4	109.50696509573156	107.12890339965728	97.6	88.07109660034271	111.14217089351844	104.6	98.05782910648155
36	103.86993975879325	96.4	88.93006024120676	120.89202437604511	114.0	107.10797562395489	102.45576726264387	94.0	85.54423273735613	108.67257053058563	103.4	98.12742946941438
37	103.86993975879325	96.4	88.93006024120676	127.83493896344167	117.8	107.76506103655832	106.66438140455776	98.4	90.13561859544225	111.70068489937759	104.4	97.09931510062242
38	103.79605160593319	96.2	88.60394839406682	121.08669766125215	113.2	105.31330233874786	101.84363102087607	93.8	85.75636897912392	108.91607978309962	103.0	97.08392021690038
39	103.79605160593319	96.2	88.60394839406682	124.68084154033477	116.6	108.51915845966522	104.54034699365894	98.2	91.85965300634106	110.48580586017871	103.8	97.11419413982128
40	103.79605160593319	96.2	88.60394839406682	120.96868872525461	113.0	105.03131127474539	102.63133825081603	94.0	85.36866174918397	109.98027355054485	103.4	96.81972644945516
41	103.74596669241484	96.0	88.25403330758516	124.21815684310971	117.6	110.98184315689028	99.66324326281811	92.2	84.73675673718189	108.61248608016092	103.0	97.38751391983908
42	103.74596669241484	96.0	88.25403330758516	118.87367006223536	113.0	107.12632993776464	99.66324326281811	92.2	84.73675673718189	107.23914887194867	101.6	95.96085112805132
43	103.62304288624317	95.8	87.97695711375682	122.0630789467763	116.8	111.5369210532237	99.88519583356734	92.8	85.71480416643266	108.66826457785523	103.8	98.93173542214477
44	103.71171991626929	95.6	87.4882800837307	115.5276925690687	111.0	106.4723074309313	99.66324326281811	92.2	84.73675673718189	107.71977443130817	102.4	97.08022556869184
45	103.71171991626929	95.6	87.4882800837307	126.36882207249228	115.8	105.23117792750772	99.24568837309472	92.0	84.75431162690528	109.12712842531054	103.4	97.67287157468947
46	103.71171991626929	95.6	87.4882800837307	118.51664818918645	111.0	103.48335181081355	98.84982269280583	91.8	84.75017730719416	108.50079360080935	102.2	95.89920639919066
47	103.71171991626929	95.6	87.4882800837307	122.22943165242536	114.4	106.57056834757465	98.70820393249937	92.0	85.29179606750063	109.07106781186548	102.0	94.92893218813452
48	103.71171991626929	95.6	87.4882800837307	117.83187389270581	110.6	103.36812610729417	98.84982269280583	91.8	84.75017730719416	107.3400325732035	101.2	95.0599674267965
49	103.71171991626929	95.6	87.4882800837307	121.3345237010818	114.8	108.26547629891819	99.52802838422451	92.2	84.8719716157755	108.50079360080935	102.2	95.89920639919066
50	103.71171991626929	95.6	87.4882800837307	115.52268050859362	110.0	104.47731949140638	99.03562363973515	92.0	84.96437636026485	107.34138031100518	101.4	95.45861968899483
51	103.71171991626929	95.6	87.4882800837307	121.40312423743285	115.0	108.59687576256715	98.76240183178798	91.6	84.437598168212	107.98027355054485	101.4	94.81972644945516
52	103.71171991626929	95.6	87.4882800837307	115.36720427310553	110.2	105.03279572689448	98.76240183178798	91.6	84.437598168212	106.60517010948	100.8	94.99482989052
53	103.81427358718506	95.4	86.98572641281496	119.63732584763727	115.6	111.56267415236272	98.76240183178798	91.6	84.437598168212	108.56017751246222	101.8	95.03982248753778
54	103.81427358718506	95.4	86.98572641281496	115.19615242270663	110.0	104.80384757729337	98.76240183178798	91.6	84.437598168212	107.04152298679729	101.0	94.95847701320271
55	103.81427358718506	95.4	86.98572641281496	122.27465169527454	114.2	106.12534830472546	98.76240183178798	91.6	84.437598168212	108.06529195009784	101.6	95.13470804990214
56	103.81427358718506	95.4	86.98572641281496	115.10454357780915	109.6	104.09545642219084	98.76240183178798	91.6	84.437598168212	107.58869937870632	101.4	95.21130062129369
57	103.81427358718506	95.4	86.98572641281496	123.24869932417586	114.6	105.95130067582413	98.76240183178798	91.6	84.437598168212	107.19464029227974	101.6	96.00535970772025
58	103.75569985448298	95.2	86.64430014551702	116.34138031100518	110.4	104.45861968899483	98.76240183178798	91.6	84.437598168212	106.99464029227975	101.4	95.80535970772026
