num_qubits r_mean r_min r_max
112 3.626542091369629 3.588823080062866 3.666534185409546
128 5.106630086898804 4.910663843154907 5.3448920249938965
144 7.2989026546478275 7.25415301322937 7.338850736618042
160 9.504470109939575 9.303921222686768 9.756957292556763
176 12.221955728530883 11.851605415344238 12.757600784301758
192 15.67492241859436 14.758390426635742 16.742749214172363
208 19.53813624382019 19.051944971084595 19.941054105758667
224 23.821454286575317 23.50289535522461 24.240036964416504
240 28.714752769470216 28.149222135543823 29.021926641464233
256 35.412668561935426 34.92867994308472 36.32817816734314
