circuit_name	num_qubits	num_partitions	cost	time
adder_n28	28	2	3.0	0.038907432556152345
adder_n28	28	3	5.0	0.0654256820678711
adder_n28	28	4	9.0	0.053510856628417966
qft_n29	29	2	14.0	0.1537966251373291
qft_n29	29	3	27.0	0.16269965171813966
qft_n29	29	4	40.0	0.1720351219177246
bv_n30	30	2	1.0	0.0008356571197509766
bv_n30	30	3	2.0	0.0014703750610351562
bv_n30	30	4	3.0	0.002168083190917969
knn_n31	31	2	4.0	0.016303634643554686
knn_n31	31	3	5.0	0.018145179748535155
knn_n31	31	4	21.0	0.07565741539001465
cc_n32	32	2	1.0	0.001509857177734375
QV_n32	32	2	624.0	0.1157193660736084
cc_n32	32	3	2.0	0.002393627166748047
QV_n32	32	3	876.0	0.14892868995666503
cc_n32	32	4	3.0	0.0035402774810791016
QV_n32	32	4	999.0	0.17127580642700196
dnn_n33	33	2	4.0	0.029651069641113283
dnn_n33	33	3	11.0	0.03137197494506836
dnn_n33	33	4	36.0	0.10420494079589844
ising_n34	34	2	1.0	0.006221771240234375
ising_n34	34	3	9.0	0.006446218490600586
ising_n34	34	4	17.0	0.0067367076873779295
cat_n35	35	2	1.0	0.0008075714111328125
cat_n35	35	3	25.0	0.004180622100830078
cat_n35	35	4	23.0	0.004243373870849609
wstate_n36	36	2	2.0	0.0025042057037353515
wstate_n36	36	3	4.0	0.0029485225677490234
wstate_n36	36	4	6.0	0.0037480831146240235
qugan_n39	39	2	5.0	0.03719320297241211
qugan_n39	39	3	12.0	0.04026122093200683
qugan_n39	39	4	21.0	0.04733409881591797
ghz_n40	40	2	1.0	0.0008732795715332032
ghz_n40	40	3	14.0	0.0026877880096435546
ghz_n40	40	4	3.0	0.0012941837310791015
swap_test_n41	41	2	1.0	0.026467037200927735
knn_n41	41	2	1.0	0.02721867561340332
swap_test_n41	41	3	5.0	0.03010387420654297
knn_n41	41	3	5.0	0.030857229232788087
swap_test_n41	41	4	15.0	0.05083246231079101
knn_n41	41	4	15.0	0.06475944519042968
ising_n42	42	2	1.0	0.009075593948364259
ising_n42	42	3	2.0	0.012612581253051758
ising_n42	42	4	19.0	0.009840250015258789
