circuit_name	num_qubits	num_partitions	cost	time
dnn_n51	51	2	4.0	0.06379575729370117
dnn_n51	51	3	10.0	0.07413806915283203
dnn_n51	51	4	15.0	0.0748417854309082
qft_n63	63	2	15.0	0.8238882064819336
qft_n63	63	3	28.0	0.8318188190460205
qft_n63	63	4	47.0	0.8575244426727295
cc_n64	64	2	15.0	0.8295666217803955
adder_n64	64	2	3.0	0.13723344802856446
cc_n64	64	3	28.0	0.8364834785461426
adder_n64	64	3	8.0	0.14177818298339845
cc_n64	64	4	47.0	0.8474467754364013
adder_n64	64	4	9.0	0.17184877395629883
cat_n65	65	2	1.0	0.0013713836669921875
cat_n65	65	3	4.0	0.0018764495849609374
cat_n65	65	4	21.0	0.004463577270507812
ising_n66	66	2	1.0	0.02128567695617676
ising_n66	66	3	2.0	0.02144308090209961
ising_n66	66	4	3.0	0.0217465877532959
knn_n67	67	2	1.0	0.06868557929992676
knn_n67	67	3	2.0	0.07780556678771973
knn_n67	67	4	6.0	0.08674044609069824
bv_n70	70	2	1.0	0.001928567886352539
bv_n70	70	3	1.0	0.00196223258972168
bv_n70	70	4	3.0	0.0035983562469482423
qugan_n71	71	2	5.0	0.10812630653381347
qugan_n71	71	3	10.0	0.11627039909362794
qugan_n71	71	4	15.0	0.12888040542602539
wstate_n76	76	2	2.0	0.0075184345245361325
wstate_n76	76	3	4.0	0.008470106124877929
wstate_n76	76	4	6.0	0.008922147750854491
ghz_n78	78	2	1.0	0.0016644954681396484
ghz_n78	78	3	2.0	0.0017418384552001954
ghz_n78	78	4	3.0	0.0020998001098632814
swap_test_n83	83	2	1.0	0.10321059226989746
swap_test_n83	83	3	2.0	0.11277227401733399
swap_test_n83	83	4	6.0	0.12428202629089355
ising_n98	98	2	1.0	0.04614920616149902
ising_n98	98	3	2.0	0.045741844177246097
ising_n98	98	4	3.0	0.046296119689941406
