# num_qubits f_mean f_min f_max w_mean w_min w_max b_mean b_min b_max r_mean r_min r_max
16 13.5 11.0 17.0 11.6 11.0 13.0 13.3 11.0 18.0 11.6 11.0 14.0
24 50.4 46.0 55.0 40.4 35.0 45.0 46.0 41.0 51.0 40.2 33.0 44.0
32 113.4 109.0 119.0 98.8 92.0 103.0 101.6 97.0 107.0 97.2 93.0 101.0
40 208.4 199.0 223.0 183.2 172.0 195.0 177.2 169.0 193.0 170.2 159.0 183.0
48 322.4 312.0 327.0 289.4 282.0 299.0 279.6 272.0 286.0 270.4 261.0 279.0
56 461.8 445.0 482.0 435.4 417.0 455.0 399.8 390.0 415.0 393.8 383.0 417.0
64 645.6 632.0 668.0 591.0 578.0 599.0 551.0 548.0 556.0 545.8 541.0 549.0
72 848.2 828.0 875.0 800.8 779.0 832.0 716.8 693.0 741.0 736.2 704.0 760.0
80 1095.0 1076.0 1127.0 989.4 958.0 1023.0 922.6 899.0 942.0 914.2 893.0 938.0
88 1362.6 1336.0 1386.0 1234.8 1210.0 1253.0 1147.6 1139.0 1151.0 1136.8 1122.0 1150.0
