# circuit_name  num_partitions  part_cost  part_time  embed_cost  embed_time esd_cost esd_time MLFM_rec_cost MLFM_rec_time 
QV_n32 2 600.0 2.067050409317017 600.0 99.15354042053222 624.0 129.33849315643312 209.8 3.9480402946472166
QV_n32 3 854.4 3.5938023567199706 854.4 101.89806532859802 876.0 129.09010334014894 360.0 5.5678215503692625
QV_n32 4 990.0 2.539838409423828 990.0 89.70653734207153 999.0 116.35330090522767 381.2 7.680343246459961
adder_n28 2 4.0 0.07941007614135742 3.6 0.20462145805358886 3.0 0.6992212772369385 2.6 3.2443389892578125
adder_n28 3 2.0 0.06954994201660156 2.0 0.11843142509460448 5.0 0.712358570098877 2.0 4.125770092010498
adder_n28 4 12.0 0.0796058177947998 10.8 0.22560510635375977 9.0 0.6944518089294432 8.2 5.616742515563965
bv_n30 2 1.0 0.0076324462890625 1.0 0.009644460678100587 1.0 0.019507217407226565 2.0 0.3873167037963867
bv_n30 3 2.0 0.009568548202514649 2.0 0.011499118804931641 2.0 0.020191574096679685 5.8 0.5220050811767578
bv_n30 4 2.6 0.011302900314331055 2.6 0.013313055038452148 3.0 0.0228604793548584 7.8 0.7288936138153076
cat_n35 2 1.0 0.010272073745727538 1.0 0.01414046287536621 1.0 0.024766969680786132 1.0 1.0483808040618896
cat_n35 3 9.0 0.02827601432800293 9.0 0.03235220909118652 25.0 0.044808816909790036 2.0 1.4111420154571532
cat_n35 4 9.0 0.027419614791870116 9.0 0.031737565994262695 23.0 0.045021247863769535 3.0 1.9522186756134032
cc_n32 2 1.0 0.008357763290405273 1.0 0.011982536315917969 1.0 0.03443388938903808 2.8 2.057974910736084
cc_n32 3 2.2 0.018493843078613282 2.2 0.021878099441528322 2.0 0.0313417911529541 9.4 2.723805379867554
cc_n32 4 3.0 0.012865400314331055 3.0 0.016338348388671875 3.0 0.033438491821289065 12.2 3.642191219329834
dnn_n33 2 4.0 0.09515538215637206 4.0 0.17878274917602538 4.0 1.115002965927124 4.2 3.093427562713623
dnn_n33 3 11.0 0.10742921829223633 11.0 0.200637149810791 11.0 0.9874496936798096 8.2 4.469803094863892
dnn_n33 4 28.8 0.22082843780517578 28.8 0.31775684356689454 36.0 1.110890293121338 12.6 6.51605978012085
ghz_n40 2 1.0 0.01244802474975586 1.0 0.017385196685791016 1.0 0.03172178268432617 1.0 1.3804682731628417
ghz_n40 3 4.4 0.023110342025756837 4.4 0.02826228141784668 14.0 0.045483255386352534 2.0 1.8766679763793945
ghz_n40 4 3.0 0.016912412643432618 3.0 0.022049474716186526 3.0 0.03664946556091309 3.0 2.579269361495972
ising_n34 2 1.0 0.022816562652587892 1.0 0.03380627632141113 1.0 0.11137871742248534 1.0 0.12287569046020508
ising_n34 3 6.6 0.030448389053344727 6.6 0.042361783981323245 9.0 0.1155709743499756 2.0 0.17327642440795898
ising_n34 4 13.4 0.03546900749206543 13.4 0.049088239669799805 17.0 0.12350473403930663 3.0 0.24564704895019532
ising_n42 2 1.0 0.03138103485107422 1.0 0.0481452465057373 1.0 0.1757840156555176 1.0 0.15371718406677246
ising_n42 3 2.0 0.035486459732055664 2.0 0.05266523361206055 2.0 0.18214793205261232 2.0 0.21809988021850585
ising_n42 4 14.4 0.048588800430297854 14.4 0.06841955184936524 19.0 0.18399972915649415 3.0 0.2980180263519287
knn_n31 2 2.4 0.048983192443847655 2.4 0.07519388198852539 4.0 0.7193374156951904 1.0 2.175384283065796
knn_n31 3 4.4 0.06600899696350097 4.4 0.0933152198791504 5.0 0.4286779880523681 2.0 4.0038087368011475
knn_n31 4 10.8 0.09787111282348633 10.8 0.12715373039245606 21.0 0.6431426525115967 3.0 4.743335914611817
knn_n41 2 1.0 0.07335777282714843 1.0 0.11788830757141114 1.0 2.043681573867798 1.0 5.191703939437867
knn_n41 3 5.0 0.09246864318847656 5.0 0.13971805572509766 5.0 1.2521619796752927 2.0 6.839787244796753
knn_n41 4 10.8 0.1589658737182617 10.8 0.20860934257507324 15.0 0.939732027053833 3.0 10.870163440704346
qft_n29 2 14.0 0.2747465133666992 14.0 2.7957088470458986 14.0 11.883102226257323 14.0 5.003455114364624
qft_n29 3 27.0 0.30972905158996583 27.0 2.1695841789245605 27.0 8.9865816116333 28.0 6.7891998291015625
qft_n29 4 39.4 0.30271015167236326 39.4 2.248394584655762 40.0 8.364578819274902 39.0 9.402034664154053
qugan_n39 2 5.0 0.12131495475769043 5.0 0.23302793502807617 5.0 2.091764783859253 3.4 3.661690664291382
qugan_n39 3 12.0 0.13046460151672362 12.0 0.25521697998046877 12.0 1.9006618976593017 8.0 6.060546064376831
qugan_n39 4 22.6 0.16901779174804688 21.6 0.44834084510803224 21.0 1.763574695587158 14.2 7.338476228713989
swap_test_n41 2 1.0 0.06970095634460449 1.0 0.11305346488952636 1.0 2.0210593700408936 1.0 5.198587322235108
swap_test_n41 3 5.0 0.088657808303833 5.0 0.13460187911987304 5.0 1.2327099800109862 2.0 6.495682048797607
swap_test_n41 4 9.2 0.12484736442565918 9.2 0.17328333854675293 15.0 0.9044549942016601 3.0 11.027341938018798
wstate_n36 2 2.0 0.028259897232055665 2.0 0.039289808273315435 2.0 0.1189992904663086 1.4 1.163816785812378
wstate_n36 3 4.0 0.032857322692871095 4.0 0.044085693359375 4.0 0.12413544654846191 2.6 1.5621716976165771
wstate_n36 4 6.0 0.036145353317260744 6.0 0.047450399398803716 6.0 0.1290790557861328 5.0 2.2237927436828615
