circuit_name	num_qubits	num_partitions	cost	time
adder_n28	28	2	2.4	1.0828092098236084
adder_n28	28	3	2.0	1.8952455043792724
adder_n28	28	4	5.0	2.641780471801758
qft_n29	29	2	14.0	1.8841700553894043
qft_n29	29	3	28.0	3.627731990814209
qft_n29	29	4	39.0	4.925043249130249
bv_n30	30	2	1.0	0.18336095809936523
bv_n30	30	3	2.0	0.29752697944641116
bv_n30	30	4	2.2	0.4093071937561035
knn_n31	31	2	1.0	0.8711949348449707
knn_n31	31	3	2.0	1.704667043685913
knn_n31	31	4	3.0	2.2072054386138915
cc_n32	32	2	1.0	0.644735050201416
QV_n32	32	2	215.2	1.615058708190918
cc_n32	32	3	2.0	2.4598949909210206
QV_n32	32	3	350.4	2.4076385498046875
cc_n32	32	4	3.0	1.4523680210113525
QV_n32	32	4	384.6	3.148809242248535
dnn_n33	33	2	4.0	0.988926887512207
dnn_n33	33	3	7.0	1.6381614685058594
dnn_n33	33	4	12.2	2.4480891704559324
ising_n34	34	2	1.0	0.05796957015991211
ising_n34	34	3	2.0	0.08665380477905274
ising_n34	34	4	3.0	0.11835851669311523
cat_n35	35	2	1.0	0.32443861961364745
cat_n35	35	3	2.0	0.522382402420044
cat_n35	35	4	3.0	0.6621849060058593
wstate_n36	36	2	1.2	0.3610695362091064
wstate_n36	36	3	3.0	0.5741705894470215
wstate_n36	36	4	5.0	0.7753766059875489
qugan_n39	39	2	4.0	1.350921392440796
qugan_n39	39	3	8.4	2.152231311798096
qugan_n39	39	4	14.4	2.89457368850708
ghz_n40	40	2	1.0	0.41681880950927735
ghz_n40	40	3	2.0	0.7005655288696289
ghz_n40	40	4	3.0	0.9252233982086182
swap_test_n41	41	2	1.0	1.8917555332183837
swap_test_n41	41	3	2.0	3.4261984825134277
swap_test_n41	41	4	3.0	4.670459747314453
knn_n41	41	2	1.0	1.8654160976409913
knn_n41	41	3	2.0	3.0879714012146
knn_n41	41	4	3.0	4.754820489883423
ising_n42	42	2	1.0	0.0725745677947998
ising_n42	42	3	2.0	0.1144338607788086
ising_n42	42	4	3.0	0.14789032936096191
dnn_n51	51	2	4.0	2.4306960105895996
dnn_n51	51	3	7.4	4.314165306091309
dnn_n51	51	4	15.8	5.938733386993408
qft_n63	63	2	31.0	17.45131359100342
qft_n63	63	3	60.0	32.102082109451295
qft_n63	63	4	93.0	46.36340465545654
adder_n64	64	2	3.8	7.181985998153687
adder_n64	64	3	7.2	12.777915954589844
adder_n64	64	4	8.2	19.08300495147705
cc_n64	64	2	1.0	3.4771528244018555
cc_n64	64	3	2.0	5.887356567382812
cc_n64	64	4	3.0	8.45723624229431
cat_n65	65	2	1.0	1.349201536178589
cat_n65	65	3	2.0	2.1281304359436035
cat_n65	65	4	3.0	3.0314043045043944
ising_n66	66	2	1.0	0.12789626121520997
ising_n66	66	3	2.0	0.18921937942504882
ising_n66	66	4	3.0	0.2661112308502197
knn_n67	67	2	1.0	6.015375375747681
knn_n67	67	3	2.0	11.599960613250733
knn_n67	67	4	4.0	16.667647933959962
bv_n70	70	2	1.0	0.8841587543487549
bv_n70	70	3	2.0	1.4487048149108888
bv_n70	70	4	3.0	2.040188264846802
qugan_n71	71	2	4.0	5.460238838195801
qugan_n71	71	3	10.0	9.71367974281311
qugan_n71	71	4	17.2	13.306913137435913
wstate_n76	76	2	2.0	2.0115478515625
wstate_n76	76	3	3.0	3.133348512649536
wstate_n76	76	4	4.8	4.430152082443238
ghz_n78	78	2	1.0	2.0271910190582276
ghz_n78	78	3	2.0	3.310970497131348
ghz_n78	78	4	3.0	4.807631778717041
swap_test_n83	83	2	1.0	10.651881885528564
swap_test_n83	83	3	2.0	19.045618963241576
swap_test_n83	83	4	4.0	30.090271949768066
ising_n98	98	2	1.0	0.21595382690429688
ising_n98	98	3	2.0	0.3280831813812256
ising_n98	98	4	3.0	0.4615990161895752
