circuit_name	num_qubits	num_partitions	cost	time
dnn_n51	51	2	4.0	2.4306960105895996
dnn_n51	51	3	7.4	4.314165306091309
dnn_n51	51	4	15.8	5.938733386993408
qft_n63	63	2	31.0	17.45131359100342
qft_n63	63	3	60.0	32.102082109451295
qft_n63	63	4	93.0	46.36340465545654
cc_n64	64	2	1.0	3.4771528244018555
adder_n64	64	2	3.8	7.181985998153687
cc_n64	64	3	2.0	5.887356567382812
adder_n64	64	3	7.2	12.777915954589844
cc_n64	64	4	3.0	8.45723624229431
adder_n64	64	4	8.2	19.08300495147705
cat_n65	65	2	1.0	1.349201536178589
cat_n65	65	3	2.0	2.1281304359436035
cat_n65	65	4	3.0	3.0314043045043944
ising_n66	66	2	1.0	0.12789626121520997
ising_n66	66	3	2.0	0.18921937942504882
ising_n66	66	4	3.0	0.2661112308502197
knn_n67	67	2	1.0	6.015375375747681
knn_n67	67	3	2.0	11.599960613250733
knn_n67	67	4	4.0	16.667647933959962
bv_n70	70	2	1.0	0.8841587543487549
bv_n70	70	3	2.0	1.4487048149108888
bv_n70	70	4	3.0	2.040188264846802
qugan_n71	71	2	4.0	5.460238838195801
qugan_n71	71	3	10.0	9.71367974281311
qugan_n71	71	4	17.2	13.306913137435913
wstate_n76	76	2	2.0	2.0115478515625
wstate_n76	76	3	3.0	3.133348512649536
wstate_n76	76	4	4.8	4.430152082443238
ghz_n78	78	2	1.0	2.0271910190582276
ghz_n78	78	3	2.0	3.310970497131348
ghz_n78	78	4	3.0	4.807631778717041
swap_test_n83	83	2	1.0	10.651881885528564
swap_test_n83	83	3	2.0	19.045618963241576
swap_test_n83	83	4	4.0	30.090271949768066
ising_n98	98	2	1.0	0.21595382690429688
ising_n98	98	3	2.0	0.3280831813812256
ising_n98	98	4	3.0	0.4615990161895752
