num_qubits r_mean r_min r_max
16 0.4869388580322266 0.4415574073791504 0.5469374656677246
24 1.3696336269378662 1.1674516201019287 1.623500108718872
32 2.809726858139038 2.6522226333618164 3.121037721633911
40 5.0795323848724365 4.634863615036011 5.561136722564697
48 8.29490156173706 8.017338037490845 8.510859966278076
56 13.8973876953125 13.248856544494629 14.544608354568481
64 20.252515888214113 19.92221474647522 20.604053258895874
72 28.595260620117188 27.140795707702637 29.670118808746338
80 38.83668417930603 37.92147350311279 40.94574761390686
88 52.516175270080566 50.65201807022095 53.83404850959778
96 67.06836400032043 65.97124338150024 69.01936364173889
