num_qubits r_mean r_min r_max
16 0.7163092136383057 0.6970980167388916 0.7559607028961182
24 1.7963414192199707 1.702765703201294 1.8597631454467773
32 3.3488175868988037 3.264490842819214 3.436720371246338
40 5.785654497146607 5.577336072921753 6.004599094390869
48 9.411336040496826 9.265619993209839 9.599368572235107
56 14.137091016769409 13.936532974243164 14.270320892333984
64 19.541810989379883 19.244702100753784 19.707945823669434
72 27.028840351104737 26.024399757385254 27.711121797561646
80 35.581870317459106 34.62327337265015 36.26763939857483
88 47.43889598846435 47.18844175338745 47.78166151046753
96 60.71249423027039 59.45106625556946 62.102338552474976
