pass f w b r
0 1.1663689613342285 0.1251997947692871 0.13505887985229492 0.510185956954956
1 2.486313819885254 0.2515909671783447 0.2683131694793701 0.9635190963745117
2 3.7054147720336914 0.37380099296569824 0.3979299068450928 1.4149720668792725
3 5.055773735046387 0.491757869720459 0.5230090618133545 1.8853752613067627
4 6.214212417602539 0.6137077808380127 0.6549191474914551 2.357046365737915
5 7.327688455581665 0.8269164562225342 0.9162399768829346 2.809584140777588
6 8.488909482955933 1.0387134552001953 1.1303319931030273 3.2091002464294434
7 9.600049257278442 1.246232509613037 1.344588279724121 3.706439256668091
8 10.829577207565308 1.4542627334594727 1.5607993602752686 4.310648202896118
9 12.191232204437256 1.664193868637085 1.7831852436065674 4.832815170288086
10 13.374851942062378 2.0634217262268066 2.137207269668579 5.359091281890869
11 14.516595125198364 2.4107108116149902 2.5024635791778564 5.77703332901001
12 15.72355604171753 2.7507989406585693 2.893754720687866 6.2781760692596436
13 16.89302110671997 3.096173048019409 3.238220691680908 6.816017150878906
14 18.12858295440674 3.4397811889648438 3.5970726013183594 7.393579006195068
15 19.278689861297607 3.9549055099487305 4.133227825164795 7.866552114486694
16 20.436758995056152 4.4597485065460205 4.668769836425781 8.36070704460144
17 21.791237831115723 4.9373626708984375 5.248915910720825 8.838926076889038
18 22.947972774505615 5.5431067943573 5.78054404258728 9.334835290908813
19 24.086983680725098 6.06693959236145 6.290764093399048 9.788722276687622
20 25.285369396209717 7.171766519546509 7.111217021942139 10.26561450958252
21 26.404425382614136 7.801774501800537 7.7900121212005615 10.800349473953247
22 27.60319948196411 8.541560411453247 8.486299276351929 11.29169249534607
23 28.90451669692993 9.196064233779907 9.157729387283325 11.729644536972046
24 30.11078667640686 9.863117456436157 9.853898286819458 12.219533443450928
25 31.266189575195312 12.467316627502441 10.724630355834961 12.739060401916504
26 32.403504848480225 13.199827671051025 11.53798532485962 13.340064287185669
27 33.56232190132141 14.057673692703247 12.312855243682861 13.969367265701294
28 34.681488037109375 14.833343029022217 13.063834428787231 14.447827577590942
29 35.83675718307495 15.575859069824219 13.842340469360352 14.930235385894775
30 36.94511032104492 16.458811044692993 14.881786346435547 15.566354513168335
31 38.095561265945435 17.493889808654785 15.814199447631836 16.139609575271606
32 39.224750995635986 18.43545174598694 16.74641227722168 16.730259656906128
33 40.42020893096924 19.303019762039185 17.647078037261963 17.33381748199463
34 41.59668493270874 20.3171968460083 18.52929711341858 18.07077932357788
35 42.72570204734802 21.44858717918396 19.665927171707153 18.97800040245056
36 43.87814426422119 22.485485315322876 20.764585256576538 19.735058546066284
37 45.20027542114258 23.755268335342407 21.89022207260132 20.531503677368164
38 46.536418437957764 24.810246229171753 23.054518938064575 21.286386489868164
39 47.65646743774414 25.87380313873291 24.09678602218628 22.078998565673828
40 48.76068139076233 27.04690408706665 25.312670946121216 25.460779666900635
41 50.00706434249878 28.305564165115356 26.63473606109619 26.649877548217773
42 51.172736167907715 29.550370454788208 28.02019715309143 27.813860654830933
43 52.33555006980896 30.686124801635742 29.23237419128418 28.965632438659668
44 53.44306206703186 32.024051666259766 30.349446296691895 30.062613248825073
