pass f w b r
0 147 123 118 116
1 144 122 115 115
2 138 122 115 115
3 135 122 113 115
4 131 122 110 115
5 131 122 108 115
6 129 122 108 114
7 128 122 108 114
8 127 122 108 114
9 126 121 108 114
10 126 119 104 108
11 125 116 104 108
12 125 115 103 108
13 122 115 102 107
14 122 115 102 105
15 122 115 101 105
16 122 115 101 105
17 122 115 101 105
18 122 115 101 105
19 122 115 100 105
20 122 114 100 105
21 122 114 100 102
22 122 114 100 101
23 122 114 100 101
24 122 114 100 101
25 122 114 100 101
26 122 114 100 101
27 122 114 100 101
28 120 114 100 100
29 120 114 100 100
30 120 113 100 100
31 120 113 100 100
32 120 113 100 99
33 120 113 100 98
34 120 113 100 96
35 120 113 100 96
36 120 113 100 96
37 120 113 100 96
38 120 113 100 96
39 120 113 100 96
40 120 112 100 96
41 120 111 100 96
42 120 111 100 96
43 120 110 100 96
44 120 110 100 96
45 120 110 100 96
46 120 110 100 96
47 119 110 100 96
48 119 110 100 96
49 119 110 100 96
50 119 110 100 96
51 119 110 100 96
52 118 110 100 96
53 118 110 100 96
54 118 110 100 96
55 118 110 100 96
56 118 110 100 96
57 118 110 100 96
58 118 110 100 96
59 118 110 100 96
