pass	max_cost_b	mean_cost_b	min_cost_b	max_cost_f	mean_cost_f	min_cost_f	max_cost_r	mean_cost_r	min_cost_r	max_cost_w	mean_cost_w	min_cost_w
1	87.3295030175465	82.4	77.47049698245351	87.3295030175465	82.4	77.47049698245351	87.3295030175465	82.4	77.47049698245351	87.3295030175465	82.4	77.47049698245351
2	62.10185121722126	59.4	56.69814878277874	76.74341649025257	72.0	67.25658350974743	61.123538406167135	59.2	57.27646159383287	62.28323969741913	60.8	59.31676030258087
3	62.10185121722126	59.4	56.69814878277874	76.74341649025257	72.0	67.25658350974743	61.123538406167135	59.2	57.27646159383287	62.28323969741913	60.8	59.31676030258087
4	60.08035085019827	57.8	55.51964914980172	76.3630681604756	68.8	61.23693183952438	59.236067977499786	57.0	54.763932022500214	62.0	60.0	58.0
5	60.08035085019827	57.8	55.51964914980172	76.3630681604756	68.8	61.23693183952438	59.236067977499786	57.0	54.763932022500214	62.0	60.0	58.0
6	59.36794833886788	57.2	55.03205166113212	72.51920240520265	66.0	59.48079759479735	59.236067977499786	57.0	54.763932022500214	62.6190046219458	58.4	54.1809953780542
7	59.36794833886788	57.2	55.03205166113212	72.51920240520265	66.0	59.48079759479735	59.236067977499786	57.0	54.763932022500214	62.6190046219458	58.4	54.1809953780542
8	59.236067977499786	57.0	54.763932022500214	69.81294744108975	64.4	58.987052558910264	59.08035085019827	56.8	54.51964914980172	62.286563348340515	58.2	54.11343665165949
9	59.236067977499786	57.0	54.763932022500214	69.81294744108975	64.4	58.987052558910264	59.08035085019827	56.8	54.51964914980172	62.286563348340515	58.2	54.11343665165949
10	59.236067977499786	57.0	54.763932022500214	67.96445169982864	63.2	58.43554830017136	58.790890230020665	56.6	54.40910976997934	62.286563348340515	58.2	54.11343665165949
11	59.236067977499786	57.0	54.763932022500214	67.96445169982864	63.2	58.43554830017136	58.790890230020665	56.6	54.40910976997934	62.286563348340515	58.2	54.11343665165949
12	55.58885438199983	53.8	52.011145618000164	67.66826457785523	62.8	57.93173542214476	57.76154726279432	54.4	51.038452737205674	60.741657386773944	57.0	53.258342613226056
13	55.58885438199983	53.8	52.011145618000164	67.66826457785523	62.8	57.93173542214476	57.76154726279432	54.4	51.038452737205674	60.741657386773944	57.0	53.258342613226056
14	54.58113883008419	53.0	51.41886116991581	67.22700735445886	62.4	57.57299264554113	56.914482300479484	53.8	50.68551769952051	59.90713558335003	56.4	52.892864416649964
15	54.58113883008419	53.0	51.41886116991581	67.22700735445886	62.4	57.57299264554113	56.914482300479484	53.8	50.68551769952051	59.90713558335003	56.4	52.892864416649964
16	53.58885438199983	51.8	50.011145618000164	66.0497190922574	61.6	57.150280907742605	56.914482300479484	53.8	50.68551769952051	59.5466401061363	56.2	52.853359893863704
17	53.58885438199983	51.8	50.011145618000164	66.0497190922574	61.6	57.150280907742605	56.914482300479484	53.8	50.68551769952051	59.5466401061363	56.2	52.853359893863704
18	53.67364413533277	51.6	49.52635586466723	65.34728827066554	61.2	57.05271172933446	56.914482300479484	53.8	50.68551769952051	59.5466401061363	56.2	52.853359893863704
19	53.67364413533277	51.6	49.52635586466723	65.34728827066554	61.2	57.05271172933446	56.914482300479484	53.8	50.68551769952051	59.5466401061363	56.2	52.853359893863704
20	53.67364413533277	51.6	49.52635586466723	65.34728827066554	61.2	57.05271172933446	56.914482300479484	53.8	50.68551769952051	59.5466401061363	56.2	52.853359893863704
