pass	max_cost_b	mean_cost_b	min_cost_b	max_cost_f	mean_cost_f	min_cost_f	max_cost_r	mean_cost_r	min_cost_r	max_cost_w	mean_cost_w	min_cost_w
1	86.96154726279431	83.6	80.23845273720568	84.507372593841	78.4	72.29262740615901	86.96154726279431	83.6	80.23845273720568	66.96794833886787	64.8	62.63205166113212
2	63.34520787991171	61.0	58.65479212008829	75.87298334620742	72.0	68.12701665379258	63.10998007960223	60.6	58.09001992039777	63.686335345031	60.4	57.113664654969
3	63.34520787991171	61.0	58.65479212008829	80.38331012066064	74.4	68.41668987933937	63.10998007960223	60.6	58.09001992039777	73.42700735445887	68.6	63.77299264554113
4	60.87082869338697	59.0	57.12917130661303	71.99317652729775	67.6	63.20682347270223	60.07332005306815	58.4	56.726679946931846	61.90998007960223	59.4	56.89001992039777
5	60.87082869338697	59.0	57.12917130661303	75.78843582110896	73.2	70.61156417889104	60.07332005306815	58.4	56.726679946931846	73.56647939483827	70.6	67.63352060516172
6	60.54950975679639	58.0	55.45049024320361	68.68997991959775	66.2	63.71002008040226	59.988854381999836	58.2	56.41114561800017	62.763705936241095	59.2	55.63629406375891
7	60.54950975679639	58.0	55.45049024320361	75.48097205817758	72.6	69.7190279418224	59.988854381999836	58.2	56.41114561800017	75.0469165057621	71.4	67.75308349423791
8	60.54950975679639	58.0	55.45049024320361	67.5495097567964	65.0	62.4504902432036	59.988854381999836	58.2	56.41114561800017	63.48328157299974	60.8	58.11671842700025
9	60.54950975679639	58.0	55.45049024320361	71.58746727726266	69.2	66.81253272273734	59.988854381999836	58.2	56.41114561800017	73.3815340802378	69.6	65.81846591976219
10	60.54950975679639	58.0	55.45049024320361	67.78843582110896	65.2	62.611564178891044	59.988854381999836	58.2	56.41114561800017	62.0	59.0	56.0
11	61.58113883008419	60.0	58.41886116991581	73.16227766016839	70.0	66.83772233983161	67.73861278752582	65.0	62.26138721247417	63.121320343559645	61.0	58.878679656440355
12	56.67364413533277	54.6	52.52635586466723	65.4165902124585	63.6	61.78340978754151	61.674234614174765	58.0	54.325765385825235	59.236067977499786	57.0	54.763932022500214
13	63.24707681233427	59.4	55.552923187665726	70.31448230047948	67.2	64.08551769952052	66.67423461417476	63.0	59.325765385825235	61.480972058177585	58.6	55.71902794182242
14	55.67364413533277	53.6	51.52635586466723	63.988854381999836	62.2	60.41114561800017	60.574887385102315	57.8	55.02511261489768	57.988854381999836	56.2	54.41114561800017
15	63.58746727726267	61.2	58.81253272273734	73.28330889535312	67.6	61.916691104646866	68.5799598391955	63.6	58.62004016080451	65.41536192416213	60.2	54.984638075837886
16	56.47364413533277	54.4	52.32635586466723	63.388435821108956	60.8	58.21156417889104	60.83315017762062	57.8	54.76684982237938	59.388435821108956	56.8	54.21156417889104
17	64.34728827066554	60.2	56.05271172933446	71.46410161513775	68.0	64.53589838486225	69.24264068711929	65.0	60.757359312880716	62.501351104664344	58.8	55.09864889533565
18	57.207680962081064	54.6	51.99231903791894	62.47364413533277	60.4	58.32635586466723	58.58885438199983	56.8	55.011145618000164	57.8431676725155	56.2	54.55683232748451
19	64.38153408023781	60.6	56.8184659197622	70.79089023002066	68.6	66.40910976997932	63.8431676725155	62.2	60.55683232748451	62.6928498393146	59.2	55.70715016068541
20	56.97488738510233	54.2	51.42511261489768	63.236067977499786	61.0	58.763932022500214	58.123538406167135	56.2	54.27646159383287	58.349358868961794	56.4	54.4506411310382
21	58.686335345031	55.4	52.113664654969	71.09901951359278	66.0	60.900980486407214	63.620526275297415	60.2	56.77947372470259	59.28323969741913	57.8	56.31676030258087
22	56.54664010613631	53.2	49.8533598938637	63.530495168499705	60.4	57.26950483150029	55.74017542509914	54.6	53.459824574900864	57.116575088810315	55.6	54.08342491118969
23	55.29544511501034	54.2	53.10455488498967	67.48328157299974	64.8	62.11671842700025	63.109980079602224	60.6	58.09001992039778	59.808318915758456	57.4	54.99168108424154
24	55.388435821108956	52.8	50.21156417889104	61.76154726279432	58.4	55.038452737205674	55.29442719099991	54.4	53.505572809000085	57.87082869338697	56.0	54.12917130661303
25	58.03666002653408	57.2	56.363339973465926	66.90217288664427	64.6	62.29782711335573	60.91547594742265	58.0	55.08452405257735	57.503840481040534	56.2	54.89615951895947
26	54.74017542509914	53.6	52.459824574900864	59.988854381999836	58.2	56.41114561800017	56.574887385102315	53.8	51.02511261489768	57.116575088810315	55.6	54.08342491118969
27	57.96794833886788	55.8	53.63205166113212	71.42700735445887	66.6	61.77299264554112	64.0	60.0	56.0	60.73861278752583	58.0	55.26138721247417
28	56.44959013639538	53.4	50.35040986360462	62.46410161513776	59.0	55.53589838486224	54.8431676725155	53.2	51.55683232748451	57.41421356237309	56.0	54.58578643762691
29	56.89544511501033	55.8	54.70455488498966	69.21519230368573	64.6	59.98480769631426	62.988854381999836	61.2	59.41114561800017	59.123538406167135	57.2	55.27646159383287
30	54.44316767251549	52.8	51.1568323274845	61.0	57.0	53.0	55.249390153191925	53.2	51.15060984680808	57.41421356237309	56.0	54.58578643762691
