pass	max_cost_b	mean_cost_b	min_cost_b	max_cost_f	mean_cost_f	min_cost_f	max_cost_r	mean_cost_r	min_cost_r	max_cost_w	mean_cost_w	min_cost_w
1	148.7117199162693	140.6	132.4882800837307	155.49383301152417	148.2	140.9061669884758	144.58331012066063	138.6	132.61668987933936	134.9688533707762	127.6	120.23114662922379
2	123.48084154033478	115.4	107.31915845966523	151.23493896344166	141.2	131.1650610365583	116.43139024560011	111.0	105.56860975439989	129.55785361832451	120.8	112.04214638167547
3	141.03072384832424	130.6	120.16927615167576	152.4339811320566	143.0	133.5660188679434	140.64896308409243	129.8	118.9510369159076	143.66157882589224	133.4	123.13842117410776
4	119.3630681604756	111.8	104.23693183952439	146.6086915465771	137.4	128.19130845342292	118.88519583356734	111.8	104.71480416643266	125.60232526704263	117.0	108.39767473295737
5	141.19803902718556	131.0	120.80196097281443	149.31436941916388	142.0	134.68563058083612	139.06797181058934	128.0	116.93202818941067	139.81294744108976	134.4	128.98705255891025
6	120.34138031100518	114.4	108.45861968899483	143.44872872225156	134.6	125.75127127774842	120.72741187248218	113.6	106.47258812751781	120.94217089351845	114.4	107.85782910648156
7	146.5426549851735	131.4	116.2573450148265	143.773126696681	135.6	127.42687330331897	139.86159252375117	132.2	124.5384074762488	138.3295030175465	133.4	128.4704969824535
8	118.39027120489902	111.2	104.00972879510098	138.16530746332688	130.4	122.63469253667313	118.69871773792359	114.8	110.9012822620764	119.03914887194868	113.4	107.76085112805133
9	140.68084154033477	132.6	124.51915845966522	140.42093240599831	134.2	127.97906759400168	132.65685424949237	127.0	121.34314575050762	139.7768716422179	134.6	129.42312835778208
10	120.45947656515261	113.2	105.94052343484739	136.6187280786918	128.6	120.58127192130821	118.24404424085076	113.0	107.75595575914924	120.65755371638518	114.2	107.74244628361483
11	113.0558245169175	106.4	99.74417548308251	138.1065186599328	131.2	124.29348134006719	122.42991053598372	117.4	112.37008946401629	121.33452370108182	114.8	108.26547629891817
12	111.14217089351844	104.6	98.05782910648155	134.0594765651526	126.8	119.54052343484739	110.07108544675923	106.8	103.52891455324077	118.25805249234439	112.2	106.14194750765562
13	110.83027530410371	105.2	99.5697246958963	136.99464029227974	131.4	125.80535970772026	124.63579991121506	115.4	106.16420008878495	118.64977063737548	113.2	107.75022936262452
14	108.65755371638518	102.2	95.74244628361483	133.79722168617863	126.6	119.40277831382136	113.02093240599831	106.8	100.57906759400169	116.7665631459995	111.4	106.03343685400051
15	113.29918027279076	107.2	101.10081972720924	137.81024967590665	130.0	122.18975032409335	122.48084154033478	114.4	106.31915845966523	117.84767985741632	113.0	108.15232014258368
16	108.42494813255684	102.4	96.37505186744318	133.27647267862343	125.0	116.72352732137658	111.29545266561362	105.8	100.30454733438637	115.57995983919548	110.6	105.6200401608045
17	110.8497190922574	106.4	101.95028090774261	136.6037024344425	131.2	125.79629756555747	120.45662018573852	114.6	108.74337981426147	120.93484832835689	113.6	106.2651516716431
18	108.24977063737548	102.8	97.35022936262452	133.0027022093287	125.6	118.1972977906713	110.42991053598372	105.4	100.37008946401629	116.51839138219832	110.8	105.08160861780168
19	108.28656334834051	104.2	100.1134366516595	136.59545297913647	130.0	123.40454702086355	120.36720427310553	115.2	110.03279572689448	116.96194411635517	111.2	105.43805588364484
20	106.52268050859362	101.0	95.47731949140638	132.84219357067906	125.0	117.15780642932094	112.772670690062	106.2	99.627329309938	116.34138031100518	110.4	104.45861968899483
21	105.3851648071345	100.0	94.6148351928655	136.96419413859206	130.0	123.03580586140794	113.10384501660363	106.6	100.09615498339636	114.50135110466435	110.8	107.09864889533564
22	105.4302753041037	99.8	94.16972469589629	131.96017751246222	125.2	118.43982248753777	105.52950301754649	100.6	95.6704969824535	113.90555213042754	109.4	104.89444786957247
23	105.4302753041037	99.8	94.16972469589629	131.85893762558248	126.4	120.94106237441753	113.61663783151691	108.8	103.98336216848308	116.29150262212919	111.0	105.70849737787081
24	105.58869937870632	99.4	93.21130062129369	129.0209324059983	122.8	116.57906759400169	107.32455532033676	101.0	94.67544467966324	113.18178046004132	108.8	104.41821953995867
25	105.29915248150105	99.4	93.50084751849896	130.51375440697743	123.6	116.68624559302255	113.81294744108975	108.4	102.98705255891026	114.12228758124704	109.4	104.67771241875298
26	104.89918027279076	98.8	92.70081972720924	128.22967024840267	120.8	113.37032975159731	105.96656314599949	100.6	95.2334368540005	113.12228758124705	108.4	103.67771241875296
27	105.21664358259653	99.2	93.18335641740347	131.44204936336257	125.0	118.55795063663744	112.35889894354068	108.0	103.64110105645932	118.1065186599328	111.2	104.2934813400672
28	104.89918027279076	98.8	92.70081972720924	128.7688533707762	121.4	114.03114662922378	105.78791845139511	100.0	94.21208154860489	114.74456264653803	109.0	103.25543735346197
29	104.69545266561364	99.2	93.70454733438636	128.29545266561362	122.8	117.30454733438637	113.24404424085076	108.0	102.75595575914924	114.12434966208792	109.8	105.47565033791207
30	104.78791845139511	99.0	93.21208154860489	128.19594483484025	120.8	113.40405516515976	107.42139587261678	100.4	93.37860412738323	113.80434577328855	109.2	104.59565422671146
31	104.32712842531053	98.6	92.87287157468946	129.26951674225464	124.2	119.13048325774537	108.54138031100517	102.6	96.65861968899482	112.96445169982864	108.2	103.43554830017136
32	104.12712842531054	98.4	92.67287157468947	126.98061485614497	120.8	114.61938514385503	104.60517010948	98.8	92.99482989052	111.41588043316392	107.0	102.58411956683608
