pass	mean_cost_b	mean_cost_f	mean_cost_r	mean_cost_w
1	568.0	1040.0	558.0	613.0
2	492.0	744.0	489.0	528.0
3	546.0	1357.0	521.0	617.0
4	500.0	852.0	494.0	513.0
5	553.0	1420.0	534.0	608.0
6	496.0	862.0	490.0	526.0
7	550.0	1426.0	541.0	595.0
8	489.0	845.0	496.0	516.0
9	518.0	1466.0	530.0	627.0
10	487.0	869.0	478.0	530.0
11	699.0	1490.0	563.0	676.0
12	498.0	862.0	488.0	539.0
13	721.0	1535.0	537.0	735.0
14	512.0	887.0	489.0	557.0
15	741.0	1507.0	566.0	736.0
16	509.0	875.0	485.0	561.0
17	720.0	1492.0	559.0	754.0
18	498.0	863.0	481.0	594.0
19	747.0	1470.0	553.0	795.0
20	520.0	852.0	469.0	582.0
21	776.0	1462.0	606.0	748.0
22	548.0	861.0	472.0	582.0
23	884.0	1455.0	593.0	878.0
24	589.0	879.0	469.0	608.0
25	905.0	1510.0	619.0	902.0
26	589.0	912.0	483.0	617.0
27	898.0	1485.0	588.0	910.0
28	576.0	881.0	456.0	605.0
29	881.0	1446.0	595.0	899.0
30	574.0	879.0	473.0	662.0
31	845.0	1491.0	652.0	798.0
32	601.0	881.0	486.0	595.0
33	990.0	1486.0	667.0	981.0
34	645.0	864.0	491.0	681.0
35	1076.0	1425.0	654.0	1032.0
36	650.0	862.0	495.0	677.0
37	1059.0	1473.0	668.0	1037.0
38	630.0	879.0	474.0	683.0
39	1041.0	1441.0	653.0	1015.0
40	638.0	854.0	485.0	667.0
41	930.0	1440.0	753.0	905.0
42	654.0	869.0	521.0	630.0
43	1139.0	1475.0	808.0	1078.0
44	734.0	862.0	546.0	725.0
45	1213.0	1463.0	823.0	1140.0
46	715.0	871.0	524.0	731.0
47	1207.0	1433.0	797.0	1201.0
48	725.0	849.0	528.0	752.0
49	1243.0	1458.0	838.0	1189.0
50	718.0	876.0	550.0	758.0
51	1010.0	1456.0	929.0	969.0
52	724.0	864.0	618.0	695.0
53	1266.0	1426.0	1057.0	1237.0
54	784.0	870.0	661.0	787.0
55	1324.0	1490.0	1080.0	1278.0
56	801.0	860.0	637.0	794.0
57	1356.0	1471.0	1074.0	1314.0
58	822.0	888.0	668.0	796.0
59	1349.0	1458.0	1111.0	1266.0
60	778.0	843.0	671.0	796.0
61	1072.0	1499.0	1047.0	1059.0
62	712.0	878.0	756.0	734.0
63	1379.0	1460.0	1345.0	1398.0
64	862.0	869.0	817.0	872.0
65	1479.0	1488.0	1448.0	1474.0
66	881.0	879.0	872.0	878.0
67	1527.0	1492.0	1452.0	1487.0
68	888.0	900.0	861.0	869.0
69	1490.0	1524.0	1481.0	1483.0
70	880.0	892.0	877.0	906.0
