pass	max_cost_b	mean_cost_b	min_cost_b	max_cost_f	mean_cost_f	min_cost_f	max_cost_r	mean_cost_r	min_cost_r	max_cost_w	mean_cost_w	min_cost_w
1	583.8027022093287	576.4	568.9972977906713	606.6445113787273	588.2	569.7554886212728	578.2497706373755	572.8	567.3502293626244	625.2071410359146	611.2	597.1928589640855
2	500.6213958726168	493.6	486.57860412738324	591.6428068015862	573.4	555.1571931984138	503.6843310345213	493.8	483.91566896547874	529.7688220724923	519.2	508.6311779275078
3	563.4996453856116	549.4	535.3003546143883	586.1073407731835	571.8	557.4926592268164	568.1037809119624	556.2	544.2962190880377	623.0153619241621	617.8	612.5846380758378
4	496.7699094559157	491.8	486.8300905440843	569.456151469141	553.4	537.343848530859	508.57583690279023	497.0	485.42416309720977	538.3415372007996	525.2	512.0584627992005
5	563.7470926301023	553.0	542.2529073698977	583.5426549851735	568.4	553.2573450148265	566.2118007202431	551.8	537.3881992797568	629.4881625906771	616.4	603.3118374093228
6	504.28010988928054	497.0	489.71989011071946	554.6136279218067	543.6	532.5863720781933	503.4236596587959	492.0	480.5763403412041	536.8686029262036	520.8	504.7313970737963
7	566.9027916803686	547.2	527.4972083196315	562.3593103261893	549.6	536.8406896738107	562.8522995463527	546.0	529.1477004536473	622.7407495172862	611.8	600.8592504827137
8	501.5970581871866	494.8	488.00294181281345	542.6540449642433	530.6	518.5459550357567	508.2981480211176	494.8	481.30185197888244	526.8498226928058	519.8	512.7501773071941
9	554.5408206516345	534.8	515.0591793483654	543.4160256216721	532.8	522.1839743783278	551.6970583144993	543.2	534.7029416855008	619.015269681834	604.6	590.1847303181661
10	503.4833147735479	496.0	488.5166852264521	534.2560567684491	519.6	504.943943231551	509.5885090526395	494.8	480.0114909473605	541.732721699668	527.2	512.6672783003321
11	590.6094170767632	576.8	562.9905829232367	546.0499134945508	531.6	517.1500865054493	576.9946402922798	571.4	565.8053597077202	570.3720004769855	553.6	536.8279995230146
12	481.1455619178973	469.6	458.05443808210276	528.3622914957372	513.0	497.6377085042628	488.58749021908636	480.6	472.6125097809137	523.6996402831153	509.8	495.90035971688474
13	603.7166517590816	594.4	585.0833482409183	534.1659885648165	518.6	503.03401143518346	562.8088206689632	549.2	535.5911793310369	575.6400906341308	562.4	549.1599093658691
14	490.24795068197693	475.0	459.75204931802307	519.8085502267639	504.6	489.3914497732361	493.41059755241537	486.8	480.18940244758465	531.1848249921105	513.4	495.61517500788943
15	590.7823299831252	584.0	577.2176700168748	525.7573023323433	513.6	501.4426976676567	563.686335345031	560.4	557.1136646549689	573.191485505499	563.8	554.4085144945009
16	480.55743852430203	474.0	467.44256147569797	514.3749776386226	500.4	486.42502236137744	487.6719347440334	478.6	469.5280652559666	523.1037809119624	511.2	499.2962190880376
17	595.6399203184089	585.6	575.5600796815911	522.4272486205415	507.0	491.5727513794585	575.3668284782018	558.2	541.0331715217983	579.0949529599719	568.2	557.3050470400282
18	485.32140675005013	474.8	464.2785932499499	507.9731623093609	494.2	480.4268376906391	485.3011626335213	481.0	476.6988373664787	527.6400906341308	514.4	501.1599093658691
19	595.9019998400256	583.4	570.8980001599743	516.2172747402269	500.0	483.78272525977314	564.2199601592044	559.2	554.1800398407956	569.6713020464867	560.8	551.9286979535132
20	482.27100839404125	472.8	463.3289916059588	501.1305839001957	488.2	475.2694160998043	484.54034699365894	478.2	471.85965300634103	519.3246451024636	511.4	503.4753548975364
21	532.7636607578175	522.6	512.4363392421825	515.8045447839265	500.4	484.99545521607337	602.4699639133399	590.0	577.5300360866601	542.1551033484731	532.6	523.044896651527
22	465.8036577207975	457.6	449.39634227920254	497.3976188226188	484.8	472.2023811773812	479.6384682042344	475.2	470.76153179576556	500.4288924491043	492.8	485.1711075508957
23	539.7040533139931	528.6	517.495946686007	518.0567450001128	496.0	473.94325499988724	604.9770964163498	593.2	581.4229035836503	539.3006493232714	531.6	523.8993506767287
24	460.2456883730947	453.0	445.7543116269053	496.393331851193	481.4	466.40666814880694	479.6778499272415	475.4	471.1221500727585	503.9023806824929	493.4	482.89761931750706
25	533.7972216861787	526.6	519.4027783138214	498.814273587185	490.4	481.9857264128149	610.0810505299798	599.8	589.5189494700201	542.7082650271389	530.0	517.2917349728611
26	460.45662018573853	454.6	448.7433798142615	490.0208152801713	478.0	465.9791847198287	482.7688220724923	472.2	461.6311779275077	500.5112834775878	491.2	481.88871652241215
27	533.1812316536028	523.6	514.0187683463972	497.15475321515004	489.0	480.84524678484996	602.4793700396801	597.4	592.3206299603198	541.8291313069565	529.8	517.7708686930434
28	463.39605160593317	455.8	448.20394839406686	487.82913130695647	475.8	463.77086869304355	484.0775572599666	475.4	466.72244274003333	505.6979998399744	493.2	480.7020001600256
29	539.7929334256393	521.4	503.0070665743607	506.1551145199333	488.8	471.4448854800667	606.4583258795408	601.8	597.1416741204591	545.538094023943	536.2	526.8619059760571
30	464.71798705862886	452.2	439.6820129413711	490.0384048104053	477.0	463.9615951895947	496.7643457870112	483.6	470.4356542129888	501.6023252670426	493.0	484.3976747329574
31	502.98173279004124	490.4	477.8182672099587	500.36822067666384	490.0	479.63177932333616	665.6051701094799	659.8	653.99482989052	524.1019998400257	511.6	499.09800015997445
32	444.6987177379236	440.8	436.90128226207645	485.41474518768194	473.2	460.98525481231803	494.9845095265019	486.6	478.21549047349816	489.05610945220417	477.8	466.54389054779585
33	491.8129474410897	486.4	480.98705255891025	497.06205605915136	481.4	465.7379439408486	681.7628716156498	670.2	658.6371283843503	523.5390334845092	513.4	503.26096651549074
34	448.21996015920445	443.2	438.18003984079553	483.90172403543795	469.4	454.898275964562	504.10030674558	487.8	471.49969325442004	488.77784874269673	476.6	464.4221512573033
35	490.40208310732623	480.8	471.1979168926738	499.13383404057095	483.6	468.0661659594291	678.1007936008093	671.8	665.4992063991906	520.9757136092361	507.4	493.8242863907638
36	450.28010988928054	443.0	435.71989011071946	480.67476707849886	468.6	456.5252329215012	500.24872872225154	491.4	482.5512712777484	484.88273016605467	473.6	462.3172698339454
37	488.6340755400955	480.4	472.16592445990443	497.2130373198656	483.4	469.5869626801344	691.26119805945	674.4	657.53880194055	518.7004064973479	506.4	494.099593502652
38	446.2575537163852	439.8	433.34244628361483	479.9463256809814	466.0	452.0536743190186	496.049867723942	486.6	477.15013227605806	481.573126696681	473.4	465.22687330331894
39	489.0556109598828	476.8	464.5443890401172	485.7113092008021	472.0	458.2886907991979	693.929166165745	676.6	659.2708338342551	522.4947229184023	502.6	482.7052770815978
40	446.2158383625775	438.0	429.7841616374225	476.2653426176871	462.0	447.7346573823129	505.63361581515164	495.8	485.9663841848484	490.51139970896594	473.4	456.288600291034
41	473.2180677423769	463.8	454.38193225762313	490.66953980290685	481.0	471.33046019709315	554.849867723942	545.4	535.950132276058	489.5959448348402	482.2	474.80405516515975
42	437.5440037453175	429.0	420.4559962546825	475.2857590216985	461.6	447.91424097830156	463.3924501414923	452.8	442.2075498585077	470.8395488626163	460.2	449.56045113738367
43	471.32464510246353	463.4	455.4753548975364	488.4351951353462	476.2	463.9648048646538	566.4759928315392	554.2	541.9240071684609	495.5649385346825	485.6	475.63506146531756
44	439.84986772394194	430.4	420.950132276058	471.65895923517377	458.4	445.1410407648262	475.8897793299949	466.6	457.31022067000515	468.66438140455773	460.4	452.1356185954422
45	464.96419413859206	458.0	451.03580586140794	493.2300991679516	477.6	461.96990083204844	542.9038450166036	536.4	529.8961549833964	491.70959131347	481.8	471.89040868653
46	438.591020472313	430.8	423.008979527687	473.99130160644745	460.2	446.4086983935525	461.42943165242536	453.6	445.7705683475747	462.1622776601684	459.0	455.8377223398316
47	477.0534693225552	463.0	448.9465306774448	491.96314728741584	477.6	463.2368527125842	565.5981926726978	549.0	532.4018073273022	484.5330845736509	475.6	466.66691542634914
48	436.66758525200663	428.2	419.73241474799335	474.5362316101446	459.2	443.86376838985535	463.3289563667573	451.4	439.47104363324263	457.122287581247	452.4	447.67771241875295
49	467.7848704125339	459.2	450.6151295874661	478.0990195135928	473.0	467.9009804864072	562.70486620885	551.4	540.0951337911499	487.99027120489905	480.8	473.609728795101
50	438.64307638777365	429.8	420.9569236122264	470.437445228705	457.6	444.7625547712951	462.84986772394194	453.4	443.950132276058	459.6166378315169	454.8	449.9833621684831
51	452.36756972627546	445.6	438.8324302737246	487.6433963320941	470.8	453.95660366790594	518.6967833231869	501.6	484.50321667681317	476.659006035093	466.8	456.940993964907
52	431.8615925237512	424.2	416.5384074762488	471.0300991679515	455.4	439.76990083204845	452.6127371453494	442.4	432.18726285465056	450.1622776601684	447.0	443.8377223398316
53	448.7585713300628	438.4	428.04142866993715	480.8111042608551	471.8	462.78889573914495	515.0723508925474	500.8	486.5276491074526	464.9165750888103	463.4	461.88342491118965
54	428.3974354758472	420.6	412.80256452415284	468.543039572249	454.0	439.456960427751	453.99426094521516	441.8	429.60573905478486	449.86951674225463	444.8	439.7304832577454
55	452.98213145410955	439.0	425.01786854589045	480.97496867163	471.0	461.02503132837	516.6455769110572	502.8	488.9544230889428	466.64977063737547	461.2	455.7502293626245
56	429.20832920383117	420.8	412.39167079616885	465.88434178703693	452.8	439.7156582129631	449.7004672795164	439.0	428.2995327204836	446.7699094559157	441.8	436.8300905440843
57	451.1849887330933	441.2	431.2150112669067	478.4060329139633	466.8	455.1939670860367	511.89395403551174	502.8	493.7060459644883	467.1305274681855	460.4	453.66947253181445
58	432.52996408614166	420.0	407.47003591385834	465.3166563912826	451.8	438.2833436087174	446.51865373723416	438.2	429.8813462627658	445.7958315233127	441.0	436.2041684766873
59	452.88273016605467	441.6	430.3172698339454	473.4869676536954	461.6	449.71303234630466	505.0747208398049	495.0	484.9252791601951	456.3115214431216	452.4	448.48847855687836
60	428.7498427657407	420.8	412.8501572342593	462.1166553901617	449.8	437.4833446098383	438.4373258476373	434.4	430.3626741523627	442.65685424949237	437.0	431.34314575050763
61	436.8027022093287	429.4	421.99729779067127	485.0829395647847	467.8	450.51706043521534	437.4630789467763	432.2	426.93692105322367	449.6124860801609	444.0	438.3875139198391
62	422.6890735984914	414.0	405.3109264015086	467.5095995976068	452.4	437.2904004023932	428.2695167422546	423.2	418.13048325774537	438.9601775124622	432.2	425.43982248753775
63	434.3974354758472	426.6	418.80256452415284	479.78423806717376	465.2	450.6157619328262	439.9581876439065	434.0	428.0418123560935	455.84219357067906	448.0	440.15780642932094
64	425.42808392152875	415.8	406.17191607847127	465.78423806717376	451.2	436.6157619328262	429.2142711667001	422.2	415.1857288332999	436.7497252664309	432.2	427.65027473356906
65	431.4594765651526	424.2	416.94052343484736	473.7340135912763	457.4	441.06598640872363	441.91637528781297	430.0	418.08362471218703	450.05947656515264	442.8	435.5405234348474
66	423.3635609200827	414.6	405.83643907991734	462.08310312899835	447.0	431.91689687100165	425.2566201857385	419.4	413.54337981426147	436.3833101206606	430.4	424.41668987933934
67	434.60832920383115	426.2	417.79167079616883	474.99453008124954	462.2	449.40546991875044	441.4869676536954	429.6	417.71303234630466	453.0078401241399	442.8	432.59215987586015
68	424.65363787633123	414.0	403.34636212366877	464.1040140105007	450.4	436.69598598949926	428.2180677423769	418.8	409.38193225762313	435.52309452558865	428.8	422.0769054744114
69	433.92388823271034	422.4	410.8761117672896	475.6930639376292	462.0	448.3069360623708	441.0363969770313	433.6	426.16360302296874	454.5005746936625	445.8	437.09942530633754
70	420.5005746936625	411.8	403.09942530633754	463.8108936323325	448.2	432.58910636766745	426.42139587261676	419.4	412.3786041273832	434.8858058601787	428.2	421.51419413982126
