iter cost cost_expl
0 137 136
1 136 134
2 135 135
3 135 131
4 135 144
5 135 134
6 135 132
7 135 125
8 130 137
9 130 126
10 130 127
11 130 122
12 130 131
13 130 122
14 130 125
15 130 118
16 130 125
17 130 118
18 129 124
19 127 118
20 124 116
21 123 114
22 123 126
23 122 118
24 122 125
25 121 114
26 120 120
27 120 112
28 120 118
29 119 111
30 119 116
31 118 110
32 118 119
33 118 110
34 118 116
35 118 110
36 118 111
37 118 106
38 118 115
39 118 108
40 118 111
41 118 107
42 118 115
43 118 110
44 117 113
45 116 106
46 115 108
47 115 103
48 115 112
49 115 103
50 115 106
51 115 104
52 115 114
53 115 106
54 115 108
55 115 104
56 115 109
57 115 105
58 115 110
59 115 104
60 115 112
61 115 106
62 115 111
63 115 105
64 115 110
65 115 107
66 115 111
67 115 106
68 115 107
69 115 104
70 115 108
71 115 104
72 115 114
73 115 106
74 114 116
75 113 105
76 112 112
77 112 104
78 112 111
79 112 106
80 112 106
81 112 104
82 112 109
83 112 104
84 112 109
85 112 105
86 112 111
87 112 106
88 112 108
89 112 104
90 112 105
91 112 104
92 112 116
93 112 104
94 112 114
95 112 107
96 112 115
97 112 107
98 112 113
99 112 106
