num_qubits f_mean f_min f_max w_mean w_min w_max b_mean b_min b_max r_mean r_min r_max
16 13.6 10.0 16.0 12.0 10.0 14.0 12.4 10.0 15.0 11.0 10.0 13.0
24 48.8 45.0 54.0 43.0 40.0 47.0 41.0 37.0 44.0 40.6 37.0 43.0
32 107.4 103.0 112.0 101.4 92.0 107.0 96.2 88.0 102.0 94.2 89.0 98.0
40 196.8 193.0 203.0 198.0 189.0 206.0 177.6 173.0 183.0 171.4 166.0 177.0
48 313.8 298.0 328.0 320.8 302.0 349.0 283.0 275.0 295.0 272.8 264.0 283.0
56 457.2 445.0 470.0 447.0 423.0 464.0 415.4 406.0 424.0 397.0 383.0 408.0
64 630.0 622.0 639.0 616.4 596.0 630.0 580.6 567.0 598.0 555.6 541.0 568.0
72 826.2 814.0 838.0 829.4 810.0 853.0 763.6 749.0 782.0 737.0 720.0 758.0
80 1061.2 1044.0 1086.0 1026.4 1016.0 1039.0 963.0 948.0 977.0 920.2 899.0 934.0
88 1307.4 1278.0 1354.0 1264.8 1248.0 1275.0 1179.8 1161.0 1196.0 1135.4 1118.0 1153.0
96 1598.6 1578.0 1614.0 1569.2 1540.0 1596.0 1455.4 1440.0 1468.0 1391.0 1367.0 1410.0
