fraction num_qubits r_mean r_min r_max
0.3 16 4.6 4.0 6.0
0.3 24 24.0 20.0 28.0
0.3 32 55.8 51.0 61.0
0.3 40 105.4 101.0 111.0
0.3 48 166.0 159.0 169.0
0.3 56 242.6 229.0 251.0
0.3 64 335.8 323.0 345.0
0.3 72 451.8 444.0 462.0
0.3 80 568.2 555.0 594.0
0.3 88 703.0 677.0 722.0
0.3 96 861.2 854.0 871.0
0.5 16 10.8 10.0 12.0
0.5 24 40.2 38.0 43.0
0.5 32 88.2 81.0 96.0
0.5 40 165.6 159.0 171.0
0.5 48 272.0 263.0 277.0
0.5 56 394.2 389.0 402.0
0.5 64 546.4 526.0 566.0
0.5 72 728.4 719.0 737.0
0.5 80 918.8 913.0 930.0
0.5 88 1142.6 1133.0 1150.0
0.5 96 1398.2 1381.0 1422.0
0.7 16 14.4 12.0 17.0
0.7 24 50.4 49.0 52.0
0.7 32 114.8 108.0 119.0
0.7 40 213.6 206.0 218.0
0.7 48 336.8 312.0 348.0
0.7 56 501.6 493.0 513.0
0.7 64 703.8 694.0 710.0
0.7 72 944.6 920.0 970.0
0.7 80 1159.6 1149.0 1169.0
0.7 88 1454.0 1439.0 1462.0
0.7 96 1793.8 1781.0 1810.0
0.9 16 11.0 10.0 13.0
0.9 24 39.8 34.0 45.0
0.9 32 96.6 86.0 107.0
0.9 40 182.0 167.0 197.0
0.9 48 291.2 280.0 303.0
0.9 56 437.4 415.0 465.0
0.9 64 625.6 608.0 644.0
0.9 72 848.0 798.0 883.0
0.9 80 1085.0 1056.0 1100.0
0.9 88 1356.2 1320.0 1381.0
0.9 96 1719.8 1658.0 1748.0
