fraction num_qubits part_mean part_min part_max embed_mean embed_min embed_max
0.3 16 6.7 4.0 8.0 6.7 4.0 8.0
0.3 24 26.6 23.0 30.0 26.6 23.0 30.0
0.3 32 60.2 50.0 66.0 60.2 50.0 66.0
0.3 40 111.4 104.0 120.0 111.4 104.0 120.0
0.3 48 180.4 171.0 189.0 180.4 171.0 189.0
0.3 56 269.1 256.0 290.0 269.1 256.0 290.0
0.3 64 380.9 374.0 392.0 380.9 374.0 392.0
0.3 72 493.0 474.0 521.0 493.0 474.0 521.0
0.3 80 644.0 623.0 658.0 644.0 623.0 658.0
0.3 88 804.2 792.0 821.0 804.2 792.0 821.0
0.3 96 983.6 965.0 999.0 983.6 965.0 999.0
0.5 16 11.5 9.0 15.0 11.5 9.0 15.0
0.5 24 44.2 42.0 47.0 44.2 42.0 47.0
0.5 32 97.1 91.0 103.0 97.1 91.0 103.0
0.5 40 177.9 171.0 187.0 177.9 171.0 187.0
0.5 48 286.5 275.0 302.0 286.5 275.0 302.0
0.5 56 421.0 407.0 440.0 421.0 407.0 440.0
0.5 64 575.5 564.0 599.0 575.5 564.0 599.0
0.5 72 772.6 755.0 806.0 772.6 755.0 806.0
0.5 80 991.1 954.0 1014.0 991.1 954.0 1014.0
0.5 88 1231.6 1213.0 1250.0 1231.6 1213.0 1250.0
0.5 96 1502.4 1474.0 1547.0 1502.4 1474.0 1547.0
0.7 16 13.6 12.0 15.0 13.6 12.0 15.0
0.7 24 47.5 41.0 51.0 47.5 41.0 51.0
0.7 32 108.7 104.0 118.0 108.7 104.0 118.0
0.7 40 200.4 193.0 208.0 200.4 193.0 208.0
0.7 48 328.2 321.0 344.0 328.2 321.0 344.0
0.7 56 479.7 467.0 489.0 479.7 467.0 489.0
0.7 64 654.5 642.0 664.0 654.5 642.0 664.0
0.7 72 866.2 850.0 886.0 866.2 850.0 886.0
0.7 80 1116.5 1082.0 1147.0 1116.5 1082.0 1147.0
0.7 88 1397.4 1377.0 1421.0 1397.4 1377.0 1421.0
0.7 96 1691.3 1661.0 1724.0 1691.3 1661.0 1724.0
0.9 16 10.9 9.0 12.0 10.9 9.0 12.0
0.9 24 38.0 36.0 42.0 38.0 36.0 42.0
0.9 32 83.7 71.0 90.0 83.7 71.0 90.0
0.9 40 147.3 130.0 160.0 147.3 130.0 160.0
0.9 48 223.2 202.0 239.0 223.2 202.0 239.0
0.9 56 312.4 286.0 331.0 312.4 286.0 331.0
0.9 64 439.6 421.0 462.0 439.6 421.0 462.0
0.9 72 564.5 534.0 583.0 564.5 534.0 583.0
0.9 80 707.3 653.0 753.0 707.3 653.0 753.0
0.9 88 844.7 822.0 888.0 844.7 822.0 888.0
0.9 96 1031.3 993.0 1098.0 1031.3 993.0 1098.0
