num_qubits fraction r_cost_mean r_cost_lower r_cost_upper time_r_mean time_r_lower time_r_upper ebit_fraction_mean ebit_fraction_lower ebit_fraction_upper
16 0.2 2.600000 1.705573 3.494427 0.041358 0.035202 0.047515 0.122469 0.088464 0.156474
16 0.3 6.000000 4.129171 7.870829 0.051022 0.044405 0.057638 0.168567 0.126213 0.210921
16 0.4 7.800000 6.963340 8.636660 0.057828 0.055514 0.060142 0.172860 0.154636 0.191084
16 0.5 11.200000 10.363340 12.036660 0.063929 0.060374 0.067483 0.189460 0.170074 0.208847
16 0.6 12.600000 11.459825 13.740175 0.071615 0.069992 0.073238 0.173031 0.163864 0.182197
16 0.7 13.600000 12.705573 14.494427 0.078632 0.076608 0.080656 0.162334 0.151152 0.173517
16 0.8 14.600000 12.926680 16.273320 0.095492 0.089108 0.101876 0.146701 0.129515 0.163887
16 0.9 11.400000 9.450641 13.349359 0.115102 0.109621 0.120582 0.101159 0.083470 0.118847
24 0.2 17.000000 15.418861 18.581139 0.159756 0.138127 0.181385 0.322073 0.300537 0.343610
24 0.3 26.600000 23.238453 29.961547 0.213436 0.206261 0.220611 0.330889 0.306981 0.354797
24 0.4 39.000000 34.363191 43.636809 0.245751 0.239548 0.251953 0.351490 0.319601 0.383379
24 0.5 49.800000 46.236294 53.363706 0.269457 0.261058 0.277856 0.365887 0.350396 0.381377
24 0.6 53.800000 50.031711 57.568289 0.313802 0.298340 0.329264 0.321981 0.295094 0.348868
24 0.7 56.400000 53.433521 59.366479 0.369293 0.351586 0.386999 0.288360 0.268094 0.308625
24 0.8 55.200000 50.595654 59.804346 0.435375 0.388483 0.482268 0.246344 0.217738 0.274950
24 0.9 41.600000 40.459825 42.740175 0.564875 0.548203 0.581547 0.164837 0.160346 0.169328
32 0.2 39.600000 37.297827 41.902173 0.391911 0.361472 0.422351 0.409935 0.396807 0.423063
32 0.3 64.200000 58.059967 70.340033 0.515191 0.492789 0.537592 0.445824 0.416289 0.475358
32 0.4 85.600000 78.402778 92.797222 0.604185 0.586173 0.622198 0.439624 0.425122 0.454127
32 0.5 102.800000 96.039822 109.560178 0.700079 0.673659 0.726499 0.411941 0.394385 0.429497
32 0.6 121.600000 114.795590 128.404410 0.827800 0.770340 0.885261 0.397421 0.384252 0.410589
32 0.7 128.200000 122.394830 134.005170 0.912133 0.878640 0.945626 0.368169 0.348478 0.387859
32 0.8 119.000000 109.566019 128.433981 1.467060 0.838478 2.095642 0.293816 0.267078 0.320554
32 0.9 104.800000 102.632052 106.967948 1.538744 1.436692 1.640795 0.234051 0.228550 0.239552
40 0.2 78.200000 72.019385 84.380615 0.858940 0.795818 0.922061 0.541266 0.517159 0.565373
40 0.3 134.800000 125.706046 143.893954 1.218473 1.184634 1.252312 0.583572 0.560829 0.606314
40 0.4 174.800000 162.959392 186.640608 1.883682 0.789148 2.978216 0.575454 0.547030 0.603878
40 0.5 224.200000 211.134779 237.265221 1.588445 1.554480 1.622411 0.575553 0.540276 0.610829
40 0.6 243.200000 237.796298 248.603702 1.877786 1.818844 1.936727 0.515773 0.507518 0.524029
40 0.7 251.800000 239.442816 264.157184 2.194598 2.071993 2.317204 0.462083 0.434574 0.489591
40 0.8 248.800000 242.114194 255.485806 2.803253 2.696524 2.909983 0.391242 0.378946 0.403537
40 0.9 190.200000 178.486760 201.913240 3.838274 3.643239 4.033309 0.269705 0.250672 0.288738
48 0.2 143.000000 133.382308 152.617692 1.689521 1.586110 1.792931 0.631259 0.601471 0.661047
48 0.3 213.000000 205.094306 220.905694 2.485329 2.170190 2.800469 0.632749 0.618680 0.646818
48 0.4 294.400000 277.657838 311.142162 3.056077 2.599599 3.512554 0.646576 0.614747 0.678405
48 0.5 346.800000 340.499206 353.100794 3.234480 3.026431 3.442530 0.614712 0.599213 0.630212
48 0.6 406.200000 397.911454 414.488546 3.832665 3.456821 4.208508 0.589810 0.578183 0.601438
48 0.7 428.600000 419.071097 438.128903 4.234288 4.069832 4.398744 0.538174 0.522023 0.554325
48 0.8 395.800000 378.986315 412.613685 5.577268 5.126884 6.027651 0.438608 0.420346 0.456871
48 0.9 319.600000 303.684599 335.515401 7.483572 7.262415 7.704728 0.312396 0.297365 0.327428
56 0.2 231.200000 223.063662 239.336338 2.884226 2.776857 2.991595 0.770097 0.763812 0.776381
56 0.3 365.400000 352.009705 378.790295 4.056018 3.726077 4.385960 0.786218 0.751227 0.821208
56 0.4 473.600000 448.266228 498.933772 4.745156 4.392174 5.098138 0.778445 0.745059 0.811830
56 0.5 585.000000 561.020842 608.979158 5.291968 5.178392 5.405544 0.767611 0.744807 0.790415
56 0.6 647.400000 629.699718 665.100282 6.244316 6.129000 6.359633 0.697865 0.685042 0.710689
56 0.7 699.000000 684.840198 713.159802 7.276343 7.097670 7.455017 0.647816 0.630801 0.664830
56 0.8 654.600000 632.547789 676.652211 8.944672 8.789446 9.099898 0.533425 0.515867 0.550983
56 0.9 503.000000 493.075283 512.924717 13.024331 12.607828 13.440833 0.358972 0.352772 0.365173
64 0.2 312.600000 301.207020 323.992980 4.445882 4.237842 4.653922 0.814270 0.784070 0.844469
64 0.3 491.800000 478.045001 505.554999 6.274925 6.118223 6.431626 0.817976 0.801100 0.834852
64 0.4 655.800000 643.626258 667.973742 7.602255 7.267939 7.936571 0.813351 0.799257 0.827445
64 0.5 790.400000 770.950064 809.849936 8.749407 8.523866 8.974948 0.782049 0.759468 0.804629
64 0.6 892.600000 881.054438 904.145562 10.498850 10.308676 10.689023 0.738287 0.725096 0.751478
64 0.7 927.400000 904.306711 950.493289 12.707282 12.548450 12.866114 0.651224 0.638105 0.664343
64 0.8 912.200000 878.842842 945.557158 15.764647 14.848628 16.680666 0.563830 0.542155 0.585505
64 0.9 742.400000 706.969787 777.830213 20.899927 19.900545 21.899309 0.406306 0.383030 0.429581
72 0.2 439.000000 429.330460 448.669540 7.686500 7.176874 8.196126 0.868265 0.850915 0.885616
72 0.3 683.200000 643.980107 722.419893 10.143814 9.809637 10.477991 0.901243 0.867712 0.934775
72 0.4 919.600000 891.496619 947.703381 12.205992 11.608872 12.803112 0.899514 0.880460 0.918567
72 0.5 1078.800000 1053.222666 1104.377334 13.965123 13.727419 14.202828 0.850204 0.835536 0.864873
72 0.6 1256.400000 1236.809186 1275.990814 16.826345 16.240729 17.411961 0.820442 0.803233 0.837650
72 0.7 1310.400000 1274.243396 1346.556604 19.795272 19.135126 20.455417 0.730390 0.705986 0.754793
72 0.8 1269.200000 1250.918862 1287.481138 25.803925 24.519023 27.088827 0.613881 0.604022 0.623740
72 0.9 1006.400000 984.155900 1028.644100 32.974574 31.932201 34.016948 0.434769 0.423391 0.446147
