# num_qubits fraction PE_cost_mean PE_cost_lower PE_cost_upper time_PE_mean time_PE_lower time_PE_upper ebit_fraction_mean ebit_fraction_lower ebit_fraction_upper
16 0.1 0.400000 -0.147723 0.947723 0.014277 -0.003230 0.031785 0.032051 -0.011895 0.075998
24 0.1 5.000000 0.698837 9.301163 0.018551 0.011456 0.025646 0.198529 0.053412 0.343646
32 0.1 11.600000 8.238453 14.961547 0.044120 0.036842 0.051397 0.280326 0.230423 0.330228
40 0.1 34.600000 27.265152 41.934848 0.101896 0.084791 0.119001 0.478937 0.424575 0.533300
48 0.1 61.200000 55.889633 66.510367 0.223368 0.147849 0.298887 0.580892 0.536167 0.625617
56 0.1 105.400000 98.558947 112.241053 0.326176 0.303640 0.348712 0.753565 0.714135 0.792994
64 0.1 149.600000 132.285266 166.914734 0.453751 0.407122 0.500381 0.826527 0.773660 0.879394
72 0.1 215.400000 199.753914 231.046086 0.697750 0.597823 0.797678 0.918470 0.906458 0.930483
80 0.1 345.400000 326.723812 364.076188 1.197961 1.073295 1.322626 1.145390 1.118558 1.172222
88 0.1 450.400000 422.663742 478.136258 1.742253 1.591915 1.892591 1.206068 1.169987 1.242149
96 0.1 576.400000 562.824286 589.975714 2.411720 2.220554 2.602885 1.297025 1.245032 1.349019
16 0.2 2.600000 1.459825 3.740175 0.011644 0.008891 0.014396 0.123783 0.082759 0.164808
24 0.2 23.800000 20.766850 26.833150 0.062234 0.056667 0.067801 0.399821 0.365128 0.434513
32 0.2 46.800000 40.265476 53.334524 0.124044 0.110106 0.137981 0.481878 0.442157 0.521600
40 0.2 99.800000 89.422139 110.177861 0.313554 0.267662 0.359446 0.658771 0.623673 0.693870
48 0.2 164.000000 160.683375 167.316625 0.601350 0.532340 0.670361 0.752200 0.722723 0.781677
56 0.2 280.600000 258.638670 302.561330 1.156111 1.008191 1.304032 0.929568 0.882890 0.976246
64 0.2 404.800000 387.794119 421.805881 1.684910 1.500641 1.869179 1.012084 0.983286 1.040882
72 0.2 540.800000 499.785368 581.814632 2.588100 2.225421 2.950778 1.097670 1.045078 1.150263
80 0.2 833.400000 797.243396 869.556604 4.841949 4.341602 5.342296 1.317634 1.302170 1.333099
88 0.2 1042.400000 975.263572 1109.536428 6.241906 5.752273 6.731540 1.398175 1.337039 1.459311
96 0.2 1276.000000 1255.850558 1296.149442 8.362887 7.838002 8.887771 1.426426 1.399241 1.453610
16 0.3 5.800000 3.025113 8.574887 0.023093 0.016537 0.029649 0.174329 0.118972 0.229686
24 0.3 32.200000 28.052712 36.347288 0.087627 0.078307 0.096946 0.399672 0.366857 0.432487
32 0.3 70.600000 65.620040 75.579960 0.227315 0.181612 0.273019 0.488752 0.459764 0.517740
40 0.3 153.600000 149.440673 157.759327 0.560551 0.481504 0.639599 0.698500 0.674602 0.722398
48 0.3 262.800000 247.944025 277.655975 1.145442 1.058736 1.232148 0.782563 0.740761 0.824365
56 0.3 416.600000 402.219458 430.980542 2.059323 1.766628 2.352017 0.923710 0.900900 0.946520
64 0.3 612.800000 589.926434 635.673566 3.700605 3.447118 3.954091 1.010498 0.991052 1.029944
72 0.3 825.200000 783.754856 866.645144 5.965661 5.332442 6.598881 1.074209 1.036038 1.112380
80 0.3 1181.400000 1161.821951 1200.978049 9.269841 8.777917 9.761765 1.258231 1.239165 1.277297
88 0.3 1426.000000 1389.716395 1462.283605 12.581985 11.859690 13.304280 1.262279 1.252067 1.272492
96 0.3 1841.600000 1791.857664 1891.342336 18.701215 17.415664 19.986766 1.356445 1.327771 1.385120
16 0.4 9.600000 8.705573 10.494427 0.028916 0.025585 0.032246 0.205470 0.185706 0.225234
24 0.4 44.000000 40.192113 47.807887 0.133530 0.118899 0.148162 0.411664 0.388397 0.434931
32 0.4 96.600000 90.743380 102.456620 0.365458 0.336014 0.394902 0.480991 0.449897 0.512085
40 0.4 205.000000 190.577795 219.422205 0.899529 0.842791 0.956267 0.660247 0.628421 0.692072
48 0.4 332.000000 312.622178 351.377822 1.944159 1.652954 2.235363 0.736679 0.710930 0.762428
56 0.4 544.200000 523.219056 565.180944 3.569379 3.476429 3.662328 0.897448 0.863635 0.931261
64 0.4 743.200000 729.776141 756.623859 5.756630 5.353087 6.160173 0.924931 0.904095 0.945768
72 0.4 1019.400000 1012.168126 1026.631874 9.721223 8.858173 10.584274 1.001408 0.995031 1.007785
80 0.4 1421.200000 1408.883345 1433.516655 15.859573 14.926802 16.792345 1.139989 1.126860 1.153119
88 0.4 1831.800000 1803.459217 1860.140783 23.136392 21.298181 24.974604 1.198354 1.185293 1.211416
96 0.4 2274.800000 2237.682619 2311.917381 33.634472 31.246052 36.022891 1.246442 1.221766 1.271119
16 0.5 10.600000 9.459825 11.740175 0.035672 0.029068 0.042277 0.185102 0.173485 0.196720
24 0.5 54.400000 52.326356 56.473644 0.174646 0.151217 0.198075 0.383507 0.361374 0.405640
32 0.5 115.200000 109.750229 120.649771 0.492294 0.452144 0.532445 0.463289 0.450146 0.476432
40 0.5 234.800000 226.571999 243.028001 1.248884 1.185756 1.312012 0.603761 0.583710 0.623812
48 0.5 374.800000 363.367590 386.232410 2.522939 2.357129 2.688749 0.669051 0.656463 0.681639
